loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,p_port_3.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,18.55588653720915,0.0005426015704870224,0.10185620002448559,18.954855201765895,19.23854048065841,19.638227101415396,19.638227101415396,0.0016450006514787674,0.0852132011204958,34.638346100226045,15.001868300139904,15.085143500939012,34.755068300291896,34.755068300291896,0.019182100892066956,0.11850100196897984,space,3.4740281999111176,,,,,,,,,,,,,,,,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
0,0,0,0,,,,,,,,,,,,,,,,,,,38.288338301703334,0.0016620010137557983,0.09833330102264881,44.305042900145054,6.014988901093602,44.421745700761676,0.03286160156130791,0.13187310099601746,50.42165290005505,6.031694000586867,50.504975801333785,0.01751120015978813,0.11481570079922676,2.0,4.515153000131249,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
1,0,1,0,,,,,,,,,,,,,,,,,,,55.05535250157118,0.0005486998707056046,0.09687960147857666,61.038208700716496,6.013444401323795,61.171505101025105,0.014706801623106003,0.11374380066990852,67.17164910025895,6.013518800958991,67.2714559007436,0.016660001128911972,0.11339450068771839,0.0,0.931054599583149,6.096919901669025,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
2,0,2,0,,,,,,,,,,,,,,,,,,,68.2385967001319,0.0006601996719837189,0.09681050106883049,74.23827840015292,6.030160700902343,74.55515880137682,0.1672231014817953,0.31348170153796673,,6.013129001483321,80.45485250093043,0.01615770161151886,0.11341950111091137,0.0,1.2981690000742674,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
3,0,3,0,,,,,,,,,,,,,,,,,,,81.78864850103855,0.0004789009690284729,0.09810580126941204,87.77137940004468,6.01387820020318,87.90488780103624,0.012465100735425949,0.11433270201086998,93.90511050075293,6.014211801812053,94.00474000163376,0.016820501536130905,0.11426110193133354,0.0,0.9983403999358416,6.097445100545883,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
4,0,4,0,,,,,,,,,,,,,,,,,,,95.03841910138726,0.0004712007939815521,0.0979968998581171,101.02144310064614,6.014533499255776,101.1715382002294,0.02894810028374195,0.1312962006777525,107.1715436000377,6.03123589977622,107.27147250063717,0.033820001408457756,0.13116970099508762,2.0,1.0985235013067722,6.097823299467564,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
5,0,5,0,,,,,,,,,,,,,,,,,,,108.4052571002394,0.00024230033159255981,0.09907760098576546,114.42152990028262,6.015661500394344,114.53813260048628,0.032507700845599174,0.13251040130853653,120.53815800137818,6.032267201691866,120.63803340122104,0.034984100610017776,0.13226230069994926,1.0,0.9647707995027304,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
6,0,6,0,,,,,,,,,,,,,,,,,,,121.63850060105324,0.0002253986895084381,0.0991107989102602,127.6548196002841,6.015683099627495,127.77155180089176,0.029340600594878197,0.1324662994593382,133.77146540023386,5.99900639988482,133.83813170157373,0.0017166994512081146,0.09911940060555935,0.0,1.2316418997943401,,6.099125899374485,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
7,0,7,0,,,,,,,,,,,,,,,,,,,135.10506900027394,0.00023089908063411713,0.09907590039074421,141.12141950055957,6.01577110029757,141.23796030133963,0.03509950079023838,0.13237589970231056,147.23809290118515,6.032335100695491,147.33795370161533,0.035203199833631516,0.13231579959392548,2.0,2.398141199722886,,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
8,0,8,0,,,,,,,,,,,,,,,,,,,149.77177810110152,0.00026169978082180023,0.09926039911806583,155.77137299999595,5.99922090023756,155.8880313001573,0.01748730055987835,0.1160460002720356,161.88805560022593,6.015753399580717,161.98802660033107,0.01896600052714348,0.11570500023663044,0.0,1.1312768999487162,6.099176298826933,,8827,Visual,2024-07-09_11h34.48.845,Visual_Condition_v2,2022.2.5,30.01399553135653,
