Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,spit_sound.stopped,p_port_5.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,1744.4580270000733,0.015428699553012848,0.11463019950315356,1750.4580111000687,6.014642399735749,1750.5578967998736,1750.5578967998736,0.014753899537026882,0.1146869994699955,space,5.337014799471945,1755.9581613000482,1755.9581613000482,6.54999166727066e-05,0.09794569993391633,num_9,2.5524051999673247,1758.574623559974,0.002251800149679184,0.09780939994379878,1758.8745385999791,1759.3579668601974,1759.6580334999599,1760.1746511598117,1760.4745693001896,1760.5579702998511,1768.5579295000061,1768.5579295000061,1768.5578972598537,0.014547599945217371,0.11455809976905584,1770.5745639000088,1770.7579279001802,1771.258031600155,10.014317399822176,1778.6744857998565,0.001894799992442131,1778.6744857998565,0.09773120004683733,6.0,3.2302423999644816,1781.9415163998492,0.0027204002253711224,0.09760199999436736,1787.9578660000116,1788.1245676599442,6.214195000007749,6.314171000383794,1789.124334400054,1808.1242387601174,1808.107608700171,26.23078040033579,26.330699700396508,1809.157781000249,1811.124438200146,1811.124438200146,0.01410929998382926,0.11409369995817542,1841.1075295000337,30.01390640018508,30.097236699890345,1769.5578433000483,,10.09805200016126,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,1841.2409955998883,0.030672899913042784,0.13055439991876483,1847.2241874998435,6.013816999737173,1847.340951200109,1847.340951200109,0.031144999898970127,0.13054260006174445,space,2.4660515999421477,1849.8409644002095,1849.8409644002095,5.5999960750341415e-05,0.09758369997143745,num_9,1.6699921996332705,1851.5742486602626,0.0022257999517023563,0.09824479976668954,1851.8741851001978,1852.3578557599335,,1853.1576016600243,1853.4575466001406,1853.5576205002144,1861.557620599866,1861.557620599866,1861.5576965598389,0.014630999881774187,0.11495069973170757,1863.5576543998905,1863.7407534001395,1864.257531300187,10.014597699977458,1871.7073770002462,0.03345899982377887,1871.7073770002462,0.1310076997615397,4.0,3.2654094002209604,1875.0079232999124,0.0023007001727819443,0.09698690008372068,1881.0075222998857,1881.2074265600181,6.230371600016952,6.330321500077844,1882.2074885000475,1901.1906979599967,1901.1907804002985,26.21365449996665,26.31349699990824,1902.20740009984,1904.2073719999753,1904.2073719999753,-0.0005759000778198242,0.09691490000113845,1934.224061100278,30.0134215997532,,1862.5574612999335,6.097129500005394,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,1934.3241872000508,0.01427589962258935,0.11349549982696772,1940.3240296998993,6.013515499886125,1940.423945300281,1940.423945300281,0.013928399421274662,0.11339479964226484,space,2.478678099811077,1942.940602700226,1942.940602700226,4.469975829124451e-05,0.09761539986357093,num_9,1.4669653996825218,1944.4405204601585,0.0021877000108361244,0.09762180037796497,1944.7404873999767,1945.2237566601484,1945.5405239001848,1946.0238249599001,1946.3404283998534,1946.4240144002251,1954.440459100064,1954.440459100064,1954.4405856601893,0.0012384001165628433,0.09759180014953017,1956.440578599926,1956.6238612001762,1957.1238281000406,10.03088470036164,1964.5738872000948,0.03352099983021617,1964.5738872000948,0.1308598001487553,1.0,3.298703500069678,1967.9073638999835,0.0017868997529149055,0.09931189985945821,1973.9237850001082,1974.0736660602502,6.199267799966037,6.299215799663216,1975.0904645002447,1994.07370785987,1994.073690699879,26.199299099855125,26.315859999973327,1995.0903357998468,1997.090468000155,1997.090468000155,0.015990799758583307,0.115818299818784,2027.1069956002757,29.999058399815112,30.09903599973768,1955.4571227999404,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027.2068934999406,3.5099685192108154e-05,0.09902699943631887,2057.2234474001452,30.0155911995098,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,2057.3234218000434,0.017731699626892805,0.11560079921036959,2063.3235178999603,6.015582099556923,2063.4234203002416,2063.4234203002416,0.015638699289411306,0.11553359916433692,space,2.224006500095129,2065.6900929003023,2065.6900929003023,4.220008850097656e-05,0.09771359991282225,num_9,2.004917100071907,2067.7400797599926,0.0019296999089419842,0.09768839972093701,2068.056640500203,2068.539964860212,2068.8399331001565,2069.323227759823,2069.6399913001806,2069.7235019998625,2077.740028299857,2077.740028299857,2077.73996546017,0.0012616999447345734,0.09787310007959604,2079.7402563998476,2079.9233162999153,2080.4400074002333,10.01445659995079,2087.8564790999517,0.01664269994944334,2087.8564790999517,0.11433369992300868,4.0,3.631932199932635,2091.5235190000385,0.002604300156235695,0.09775689989328384,2097.5233920002356,2097.7232642601243,6.231010599993169,6.331008699722588,2098.7230942002498,2117.7063978602177,2117.7065544999205,26.21431430010125,26.31423219991848,2118.706492099911,2120.7231708001345,2120.7231708001345,0.0003211996518075466,0.09758009994402528,2150.7228540000506,30.013871299568564,,2078.740005400032,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,2150.839929400012,0.01488789962604642,0.11406059982255101,2156.8396613001823,6.030603599734604,2156.939738499932,2156.939738499932,0.014072099700570107,0.11419669957831502,space,2.4591857995837927,2159.4565233001485,2159.4565233001485,6.050011143088341e-05,0.09840309992432594,num_9,2.134505399968475,2161.6396561599336,0.0020999000407755375,0.09805390005931258,2161.9396822000854,2162.422952860035,2162.7396546001546,2163.22290466018,2163.539667500183,2163.6397061999887,,2171.656290899962,2171.6562505600973,0.0172882997430861,0.1146471998654306,2173.6729415999725,2173.822953999974,2174.3229308999144,10.031311200000346,2181.7560903001577,0.017393599729985,2181.7560903001577,0.1146026998758316,6.0,3.0982218999415636,2184.8899103002623,0.001616199966520071,0.09940820001065731,2190.8895392999984,2191.0560449598356,6.199210199993104,6.299278900027275,2192.0562438000925,2211.072820159979,2211.07283690013,26.215989400167018,26.315692000091076,2212.0894617000595,2214.0728115001693,2214.0728115001693,0.01601879997178912,0.11577200004830956,2244.072639199905,30.015785099938512,,,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,2244.222700300161,0.03308229986578226,0.13245819974690676,2250.239294299856,6.01580819953233,2250.3060309002176,2250.3060309002176,0.015871699899435043,0.1157535994425416,space,2.460539299529046,2252.8059924002737,2252.8059924002737,4.020007327198982e-05,0.0977976000867784,num_9,1.1047165994532406,2253.9558493601157,0.0018503000028431416,0.09889720007777214,2254.2558304001577,2254.7392579600214,2255.0393365998752,2255.539275859855,2255.8392285001464,2255.939371400047,2263.939254499972,2263.939254499972,2263.9392186602577,0.015416100155562162,0.11547690024599433,2265.939128300175,2266.155939400196,2266.6726210000925,10.015214400365949,2274.0557430000044,0.0009349999018013477,2274.0557430000044,0.0988217000849545,1.0,3.26544740004465,2277.3562798001803,0.0017366004176437855,0.09942630026489496,2283.3725156001747,2283.539156860113,6.2159604001790285,6.315829800441861,2284.5390876000747,2303.5390055602415,2303.5391124002635,26.21578730037436,26.31589430011809,2304.539040500298,2306.555748200044,2306.555748200044,0.0013716998510062695,0.09915910009294748,2336.555652299896,29.999066499993205,30.098959099967033,2264.955869600177,,10.098529300186783,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,2336.6556104999036,0.0003733998164534569,0.09890739992260933,2342.672277800273,6.015551699791104,2342.77224890003,2342.77224890003,0.015694099944084883,0.11555279977619648,space,2.890463599935174,2345.705589900259,2345.705589900259,4.020007327198982e-05,0.09805090026929975,num_9,1.6135176997631788,2347.3721995599567,0.0006977003067731857,0.09947520028799772,2347.6888819001615,2348.155526460055,2348.455436100252,2348.9387154601513,2349.2555225999095,2349.338890600018,2357.338809300214,2357.338809300214,2357.3388273598625,-0.0005852999165654182,0.11629590019583702,2359.3388733002357,2359.5388567000628,2360.022036100272,9.999414500314742,2367.4721234999597,0.0021816003136336803,2367.4721234999597,0.099269799888134,5.0,3.464657200034708,2370.9723610999063,0.0024366998113691807,0.09808199992403388,2376.988774899859,2377.155333259981,6.214709699619561,6.31460789963603,2378.1554124001414,2397.155226759985,2397.155430099927,26.214625699911267,26.314503099769354,,2400.155346999876,2400.155346999876,0.014633999671787024,0.11449729977175593,2430.172028100118,30.031238799449056,,2358.338765699882,,10.099296200089157,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,2430.2885640002787,0.01512639969587326,0.11440109927207232,2436.3052297001705,6.031047699507326,2436.4052118002437,2436.4052118002437,0.031200299505144358,0.13099349942058325,space,2.210092800203711,2438.6718629999086,2438.6718629999086,9.239977225661278e-05,0.09630269976332784,num_9,1.143021299969405,2439.871861160174,0.002327399794012308,0.09804000006988645,2440.1884898999706,2440.6554147600195,2440.955093999859,2441.455065159965,2441.7550849001855,2441.871873100288,2449.8718484002165,2449.8718484002165,2449.871807060111,0.0012745000422000885,0.09796109981834888,2451.855059800204,2452.055121900048,2452.555143999867,10.0313360998407,2459.988222999964,0.01716900011524558,2459.988222999964,0.11446810001507401,2.0,3.4984792000614107,2463.5220797001384,0.00252100033685565,0.09785090014338493,2469.5384173002094,2469.70504226014,6.2144212001003325,6.314477100037038,,2489.721583160013,2489.721671000123,26.231092300266027,26.3311700001359,2490.73832650017,,2492.7382768001407,0.01610339991748333,0.11414190009236336,2522.7383385002613,30.014262199867517,,2450.8884570002556,,,,,,,,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2522.8382844999433,0.014777499716728926,0.11395979998633265,2552.8547817999497,30.03074759989977,4953,Gustatory,2024-08-21_11h39.55.262,Gustatory_Condition_v2,2022.2.5,30.000120015363695,
