loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,21.480488899163902,0.0006248997524380684,0.10111929941922426,22.181958900298923,22.631982499733567,0.019976199604570866,0.1347479997202754,15.001293200068176,37.615281799808145,37.6986579997465,37.6986579997465,0.0014395006000995636,0.10128109995275736,space,4.317000700160861,,,,,,,,,,,,,,,,,,675,Visual,2024-04-15_14h25.59.911,Visual_Condition_v2,2022.2.5,30.001083008924972,
0,0,0,0,,,,,,,,,,,,,,,,42.04873189982027,0.008448099717497826,0.09805519971996546,48.04864410031587,6.0310251004993916,48.19842949975282,0.04525720048695803,0.14783380087465048,6.0144108003005385,54.19862939976156,54.26521139964461,0.016979200765490532,0.11428410094231367,1.0,3.131570399738848,,,675,Visual,2024-04-15_14h25.59.911,Visual_Condition_v2,2022.2.5,30.001083008924972,
1,0,1,0,,,,,,,,,,,,,,,,57.43224909994751,0.0006101001054048538,0.09729520045220852,63.44877060037106,6.0139597998932,63.565256300382316,0.029446100816130638,0.1309105008840561,6.030591300688684,69.565316000022,69.66534040030092,0.03145590052008629,0.13049690052866936,3.0,1.9000858999788761,,,675,Visual,2024-04-15_14h25.59.911,Visual_Condition_v2,2022.2.5,30.001083008924972,
2,0,2,0,,,,,,,,,,,,,,,,71.59884690027684,0.00023620016872882843,0.09929000027477741,77.58182880003005,5.999077700078487,77.71542860008776,0.012672500684857368,0.11611870024353266,6.015736200846732,83.69858959969133,83.7986513003707,-0.00021619908511638641,0.09898870065808296,0.0,1.9669563993811607,6.099350600503385,6.098978300578892,675,Visual,2024-04-15_14h25.59.911,Visual_Condition_v2,2022.2.5,30.001083008924972,
3,0,3,0,,,,,,,,,,,,,,,,85.79905789997429,0.000306200236082077,0.09817320015281439,91.79871429968625,6.031362500041723,91.93201979994774,0.028854400850832462,0.13147610053420067,6.031280701048672,97.93196150008589,98.0319996997714,0.03313890099525452,0.1314369011670351,1.0,2.8658055998384953,,,675,Visual,2024-04-15_14h25.59.911,Visual_Condition_v2,2022.2.5,30.001083008924972,
4,0,4,0,,,,,,,,,,,,,,,,100.9320489000529,0.00022799987345933914,0.09899390023201704,106.94870879966766,6.015765099786222,107.08190699946135,0.043050700798630714,0.14926520083099604,6.015704600140452,113.08196619991213,113.14856730028987,0.018346901051700115,0.11555540096014738,2.0,1.731772200204432,,,675,Visual,2024-04-15_14h25.59.911,Visual_Condition_v2,2022.2.5,30.001083008924972,
5,0,5,0,,,,,,,,,,,,,,,,114.91565100010484,0.000789799727499485,0.09757940005511045,120.91530039999634,6.030756999738514,121.0655220001936,0.046494800597429276,0.14748849999159575,6.014092200435698,127.06554299965501,127.1319725997746,0.016773301176726818,0.11419140081852674,2.0,1.931699600070715,,,675,Visual,2024-04-15_14h25.59.911,Visual_Condition_v2,2022.2.5,30.001083008924972,
6,0,6,0,,,,,,,,,,,,,,,,129.0989274000749,0.00022689998149871826,0.09915939997881651,135.09864529967308,5.999187599867582,135.21519610006362,0.017887599766254425,0.1156981997191906,6.015744700096548,141.21523750014603,141.31523600034416,0.017921400256454945,0.1156213004142046,1.0,1.6654093004763126,6.099105600267649,,675,Visual,2024-04-15_14h25.59.911,Visual_Condition_v2,2022.2.5,30.001083008924972,
7,0,7,0,,,,,,,,,,,,,,,,143.01553369965404,0.000843999907374382,0.09704879950731993,149.01531650032848,6.030396099202335,149.24901709984988,0.09665630012750626,0.23064900003373623,6.030348700471222,,155.24853730015457,0.03108890075236559,0.13053850084543228,0.0,1.6669067004695535,,,675,Visual,2024-04-15_14h25.59.911,Visual_Condition_v2,2022.2.5,30.001083008924972,
8,0,8,0,,,,,,,,,,,,,,,,156.9490310996771,0.00022699963301420212,0.09900699928402901,162.96532719954848,6.015645199455321,163.08198179956526,0.03265309985727072,0.13245199993252754,6.032348499633372,169.08198910020292,169.18190610036254,0.035004500299692154,0.1323180003091693,2.0,2.065209100022912,,,675,Visual,2024-04-15_14h25.59.911,Visual_Condition_v2,2022.2.5,30.001083008924972,
