loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,p_port_6.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,Instructions_Affinity_Score.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,23.736466099508107,0.0007845996879041195,0.11115279980003834,24.318227409943937,24.918333110027014,25.518231010157614,25.834833499975502,25.834833499975502,0.027734799776226282,0.12801749957725406,40.81814330024645,15.011048599611968,15.094416999723762,40.93492140015587,0.027873599901795387,0.1278058998286724,41.43491890002042,space,2.878985600080341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3777,Moral,2024-10-08_12h39.27.553,MoralCondition_v2,2022.2.5,30.016599172950084,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,44.35157479997724,0.0012662000954151154,0.09837350016459823,50.33466160017997,6.014694599900395,6.098160000052303,50.58487119991332,50.58487119991332,0.08939349977299571,0.23148670000955462,6.031667799688876,56.66822610003874,56.66822610003874,56.66822610003874,0.08850079961121082,0.21504919975996017,62.368263400159776,62.53495720028877,6.015090799890459,6.115036499686539,68.53490089997649,12.015029899775982,68.66825760016218,68.66825760016218,0.015246199443936348,0.11499799974262714,up,1.9657256002537906,70.68490990018472,0.00012770015746355057,0.09776439983397722,76.71815060032532,76.71815060032532,0.028712899889796972,0.13109140004962683,7.0,4.969886899925768,,,,,,,,,,,,,,3777,Moral,2024-10-08_12h39.27.553,MoralCondition_v2,2022.2.5,30.016599172950084,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.71824169997126,81.71824169997126,0.008562400005757809,0.09933420037850738,2.0,3.5584364999085665,,,,,,,,,,,,,,3777,Moral,2024-10-08_12h39.27.553,MoralCondition_v2,2022.2.5,30.016599172950084,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.3348719002679,85.3348719002679,0.01454540016129613,0.11459550028666854,2.0,1.2342389998957515,,,,,,,,,,,,,,3777,Moral,2024-10-08_12h39.27.553,MoralCondition_v2,2022.2.5,30.016599172950084,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.61825980013236,86.61825980013236,0.010501100216060877,0.11600130004808307,7.0,1.4730891003273427,,,,,,,,,,,,,,3777,Moral,2024-10-08_12h39.27.553,MoralCondition_v2,2022.2.5,30.016599172950084,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.13474090024829,88.13474090024829,0.014612399972975254,0.11417279997840524,4.0,3.1670230999588966,,,,,,,,,,,,,,3777,Moral,2024-10-08_12h39.27.553,MoralCondition_v2,2022.2.5,30.016599172950084,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.35157239995897,91.35157239995897,0.011793299578130245,0.11414620000869036,2.0,1.7367302998900414,,,,,,,,,,,,,,3777,Moral,2024-10-08_12h39.27.553,MoralCondition_v2,2022.2.5,30.016599172950084,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.13480579992756,93.13480579992756,0.009162100031971931,0.11577949998900294,1.0,1.7743732002563775,,,,,,,,,,,,,,3777,Moral,2024-10-08_12h39.27.553,MoralCondition_v2,2022.2.5,30.016599172950084,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9348553000018,94.9348553000018,0.0014553996734321117,0.09748649969696999,7.0,4.264104799833149,,,,,,,,3777,Moral,2024-10-08_12h39.27.553,MoralCondition_v2,2022.2.5,30.016599172950084,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,99.23516000015661,0.0003062998875975609,0.09766090009361506,105.23496349994093,6.031117799691856,,105.45139389997348,105.45139389997348,0.11158149968832731,0.21431179996579885,6.014594199601561,111.501438499894,111.501438499894,111.501438499894,0.06837009964510798,0.16451249970123172,117.20142390020192,117.43496329989284,6.0311461999081075,6.130943399854004,123.43488549999893,12.031067799776793,123.56815689988434,123.56815689988434,0.03109239973127842,0.13098259968683124,down,0.8253218997269869,124.43486190028489,4.369998350739479e-05,0.09787030005827546,130.468111500144,130.468111500144,0.028167900163680315,0.1312639000825584,6.0,3.3720778999850154,,,,,,,123.50151530001312,123.50151530001312,,,,,,3777,Moral,2024-10-08_12h39.27.553,MoralCondition_v2,2022.2.5,30.016599172950084,
