loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,25.296909862197936,0.0009689014405012131,0.10137169994413853,25.613336799666286,25.913268559612334,26.212947599589825,26.496312960051,26.813167298212647,27.11309335846454,27.429677499458194,27.429677499458194,0.0008373018354177475,0.10156210139393806,42.44641829840839,15.018194701522589,42.52974549867213,0.0014696009457111359,0.10151760093867779,42.99646279960871,space,1.6360346004366875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8576,Moral,2024-06-14_13h31.37.522,MoralCondition_v2,2022.2.5,30.000822063709386,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,44.69657619856298,0.013592800125479698,0.13162150047719479,50.69643549993634,6.014885799959302,50.92968439869583,50.92968439869583,0.11526920087635517,0.24824000149965286,6.0148471016436815,56.996461099013686,56.996461099013686,56.996461099013686,0.07683160156011581,0.21484020166099072,62.696426598355174,62.863072199746966,6.014866601675749,6.114845301955938,68.86309009976685,12.014883501455188,68.99654569849372,68.99654569849372,0.01510610245168209,0.11481470242142677,up,0.4115600008517504,69.46319719962776,4.6100467443466187e-05,0.09756829962134361,75.49644469842315,75.49644469842315,75.49644469842315,0.02109220065176487,0.13093290105462074,2.0,7.644158899784088,,,,,,,,,,,,,,8576,Moral,2024-06-14_13h31.37.522,MoralCondition_v2,2022.2.5,30.000822063709386,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.17993859946728,83.17993859946728,0.014266900718212128,0.1147914994508028,4.0,7.601458700373769,,,,,,,,,,,,,,8576,Moral,2024-06-14_13h31.37.522,MoralCondition_v2,2022.2.5,30.000822063709386,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.81305269896984,90.81305269896984,0.0076455008238554,0.09934750013053417,2.0,3.692630600184202,,,,,,,,,,,,,,8576,Moral,2024-06-14_13h31.37.522,MoralCondition_v2,2022.2.5,30.000822063709386,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.54620329849422,94.54620329849422,0.010318201035261154,0.09752090089023113,2.0,1.78843479976058,,,,,,,,,,,,,,8576,Moral,2024-06-14_13h31.37.522,MoralCondition_v2,2022.2.5,30.000822063709386,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.37958659976721,96.37958659976721,0.009258599951863289,0.09776229970157146,1.0,3.523464299738407,,,,,,,,,,,,,,8576,Moral,2024-06-14_13h31.37.522,MoralCondition_v2,2022.2.5,30.000822063709386,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.96320309862494,99.96320309862494,0.010397499427199364,0.1149389985948801,1.0,2.438943400979042,,,,,,,,,,,,,,8576,Moral,2024-06-14_13h31.37.522,MoralCondition_v2,2022.2.5,30.000822063709386,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.44665789976716,102.44665789976716,0.00934549979865551,0.11449179984629154,1.0,1.572937000542879,,,,,,,,,,,,,,8576,Moral,2024-06-14_13h31.37.522,MoralCondition_v2,2022.2.5,30.000822063709386,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.04639679938555,104.04639679938555,0.002381499856710434,0.09741969965398312,4.0,5.196161899715662,,,,,,,,8576,Moral,2024-06-14_13h31.37.522,MoralCondition_v2,2022.2.5,30.000822063709386,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,109.28014459833503,0.0002699997276067734,0.09787840023636818,115.29639699868858,6.0144056007266045,115.46304409950972,115.46304409950972,0.07228440046310425,0.18109040148556232,6.01445659995079,121.56300419941545,121.56300419941545,121.56300419941545,0.06899070180952549,0.18129860050976276,127.26308729872108,127.4631180986762,6.014593500643969,6.114480400457978,133.46309809945524,12.01445640064776,133.5965564996004,133.5965564996004,0.014820601791143417,0.11445870250463486,up,1.0756581015884876,134.71307609975338,4.1000545024871826e-05,0.09807300008833408,,140.72958819940686,140.72958819940686,0.022104300558567047,0.11467139981687069,2.0,3.4936282001435757,,,,,,,121.46306979842484,121.46306979842484,133.56331979855895,133.56331979855895,,,,8576,Moral,2024-06-14_13h31.37.522,MoralCondition_v2,2022.2.5,30.000822063709386,
