loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,p_port_6.stopped,p_port_8.stopped,player_image_offer.stopped,player_name_offer.stopped,p_port_10.stopped,player_image_intro.stopped,player_name_intro.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,29.519653498101977,0.0008180001750588417,0.10988250002264977,29.85025990009308,30.100262899696826,30.400200500153005,30.7002758000046,31.000159199815243,31.317025099694728,31.633473999798298,31.633473999798298,0.008948999922722578,0.11003259988501668,46.6335813999176,15.01000320026651,46.73357249982655,0.010187100153416395,0.1099744001403451,47.200370700098574,space,3.0156311001628637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,Moral,2024-11-14_19h38.21.868,MoralCondition_v2,2022.2.5,30.002352174379293,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,50.266910899896175,0.0014189998619258404,0.09820020012557507,56.28355890000239,6.014785700011998,56.583385800011456,56.583385800011456,0.174605299718678,0.3146967999637127,6.014809399843216,62.58369729993865,62.58369729993865,62.58369729993865,0.08661750005558133,0.21524079982191324,68.28358619986102,68.45041699986905,6.015019699931145,6.1147823999635875,74.45033189980313,12.014952799770981,74.58357540005818,74.58357540005818,0.014967099763453007,0.11491959961131215,down,18.495797799900174,93.1169094000943,4.660012200474739e-05,0.09769080020487309,99.13347159978002,99.13347159978002,99.13347159978002,0.014751100447028875,0.11403390020132065,2.0,1.7008457998745143,,,,,,,,,,,,,,680,Moral,2024-11-14_19h38.21.868,MoralCondition_v2,2022.2.5,30.002352174379293,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.88346870010719,100.88346870010719,0.012744700070470572,0.11485040001571178,2.0,0.4363226001150906,,,,,,,,,,,,,,680,Moral,2024-11-14_19h38.21.868,MoralCondition_v2,2022.2.5,30.002352174379293,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.35006699990481,101.35006699990481,0.008490200154483318,0.099068199750036,2.0,0.5248585003428161,,,,,,,,,,,,,,680,Moral,2024-11-14_19h38.21.868,MoralCondition_v2,2022.2.5,30.002352174379293,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.91686100000516,101.91686100000516,0.00915990024805069,0.09804579988121986,2.0,0.5564675000496209,,,,,,,,,,,,,,680,Moral,2024-11-14_19h38.21.868,MoralCondition_v2,2022.2.5,30.002352174379293,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5337486998178,102.5337486998178,0.010042000096291304,0.11453909985721111,2.0,0.6387100000865757,,,,,,,,,,,,,,680,Moral,2024-11-14_19h38.21.868,MoralCondition_v2,2022.2.5,30.002352174379293,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.2172337998636,103.2172337998636,0.01115499995648861,0.11562620010226965,2.0,0.705581699963659,,,,,,,,,,,,,,680,Moral,2024-11-14_19h38.21.868,MoralCondition_v2,2022.2.5,30.002352174379293,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.96706940000877,103.96706940000877,0.010136099997907877,0.11460260022431612,2.0,0.5385604999028146,,,,,,,,,,,,,,680,Moral,2024-11-14_19h38.21.868,MoralCondition_v2,2022.2.5,30.002352174379293,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.53373439982533,104.53373439982533,0.001620700117200613,0.09808959998190403,2.0,0.6306068003177643,,,,,,,,680,Moral,2024-11-14_19h38.21.868,MoralCondition_v2,2022.2.5,30.002352174379293,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,105.20044829975814,0.0001554996706545353,0.09933289978653193,111.20026340009645,5.99911869969219,111.43386239977553,111.43386239977553,0.11956749996170402,0.23273099958896637,5.999081299640238,117.5000889999792,117.5000889999792,117.5000889999792,0.09815339976921678,0.19919629953801632,123.20024649985135,123.36707889987156,5.999303799588233,6.099116399418563,129.3671312998049,11.999396599829197,129.50025619985536,129.50025619985536,0.00010839942842721939,0.09907509945333004,up,0.9869468002580106,130.55022000009194,5.970010533928871e-05,0.09796850010752678,,136.56483960011974,136.56483960011974,0.023010000120848417,0.13126510009169579,3.0,11.276149800047278,,,,,,,6.099143399856985,6.099098099861294,129.50025619985536,129.50025619985536,12.099089399445802,,,680,Moral,2024-11-14_19h38.21.868,MoralCondition_v2,2022.2.5,30.002352174379293,
