Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Finish_rinse.stopped,p_port_18.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_14.stopped,p_port_5.stopped,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,1734.6436286999378,0.015316999983042479,0.11479050014168024,1740.6602481999435,6.031229299958795,1740.7601884999312,1740.7601884999312,0.031386899994686246,0.13129849988035858,space,0.8912629999686033,1741.6936214000452,1741.6936214000452,4.1899969801306725e-05,0.09797809994779527,num_9,1.9576753999572247,1743.6936746399151,0.00188739993609488,0.09834060003049672,1744.0102103999816,1744.4769268400269,1744.7767568000127,1745.293658139999,1745.6102477000095,1745.6769922999665,1753.6935457999352,1753.6935457999352,1753.6937094399473,0.0014231998939067125,0.09802430006675422,1754.7102119999472,1755.7101932000369,1755.8768277000636,1756.3768704000395,10.014690999872983,1763.8100872999057,0.01777159981429577,1763.8100872999057,0.11465569981373847,6.0,2.931133400183171,1766.7769810999744,0.0015358999371528625,0.09935569996014237,1772.7768300999887,1772.9600799399195,6.215806199936196,6.315653000026941,1773.9602659998927,1792.9600608398905,1792.9600577999372,26.215636499924585,26.315652899909765,1795.9600157998502,1795.9600157998502,0.015618599951267242,0.11566300014965236,1825.9598689000122,30.015440999995917,1793.9599987999536,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,1826.0932845000643,0.016088099917396903,0.11531369993463159,1832.1098684000317,6.032134199980646,1832.209886699915,1832.209886699915,0.0321730999276042,0.13204199983738363,space,2.4013658000621945,1834.6767885000445,1834.6767885000445,4.4899992644786835e-05,0.097979900194332,num_9,1.934907600050792,1836.676600840059,0.002402300015091896,0.0978496999014169,1836.9764771999326,1837.4597491399618,1837.7766468999907,1838.2765337399906,1838.576403300045,1838.6598453999031,1846.6598050999455,1846.6598050999455,1846.660066239885,0.014649099903181195,0.11455489997752011,1847.6764487999026,1848.6764861000702,1848.8430210999213,1849.3597965000663,10.031286899931729,1856.7930240000132,0.017063999781385064,1856.7930240000132,0.11467409995384514,5.0,2.1652691999915987,1858.993103899993,0.0036750000435858965,0.09809129987843335,1864.9934930000454,1865.1764699398773,6.214731300016865,6.314745399868116,1866.1763875999022,1885.1930317400256,1885.1929776999168,26.231370100053027,26.331314399838448,,1888.2096545000095,0.016388899879530072,0.11464140005409718,1918.2094705000054,30.014541500015184,1886.2097555999644,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,1918.3096030000597,0.015439099865034223,0.11451049987226725,1924.3261311999522,6.0311300999019295,1924.4094543999527,1924.4094543999527,0.01453829975798726,0.11448419978842139,space,3.1621235001366585,1927.6261444999836,1927.6261444999836,4.620011895895004e-05,0.09782700007781386,num_9,1.2575838998891413,1928.9261979399016,0.0020335998851805925,0.0980163998901844,1929.2259436999448,1929.709433139884,1930.0094443999697,1930.5094999399735,1930.8093663000036,1930.9263287999202,1938.9260537999216,1938.9260537999216,1938.9262414398836,0.00011290004476904869,0.09802849986590445,1939.9428640999831,1940.9258834000211,1941.1094386000186,1941.62605229998,10.014512199908495,1949.0264063999057,0.0012644999660551548,1949.0264063999057,0.09789149998687208,3.0,2.8976894998922944,1951.959659599932,0.0030217000748962164,0.09785500005818903,1957.9761111999396,1958.1425479400204,6.214283999986947,6.2980478999670595,1959.159301500069,1978.142512639868,1978.1425377998967,26.21444940008223,26.314395599998534,1981.1425693999045,1981.1425693999045,0.014491800218820572,0.11443020007573068,2011.1590811000206,30.030995200155303,1979.1759192999452,10.09804129996337,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.2757303998806,0.014495700132101774,0.11429299996234477,2041.275732500013,30.014421100029722,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,2041.3756283998955,0.016302699921652675,0.11413239990361035,2047.3755898999516,6.014126199996099,2047.4756103998516,2047.4756103998516,0.014217399759218097,0.11412289994768798,space,1.6954502000007778,2049.208942200057,2049.208942200057,4.96001448482275e-05,0.09772620000876486,num_9,1.7549879997968674,2051.0090053399326,0.0025748000480234623,0.09778330009430647,2051.3087956998497,2051.7922113399254,2052.1089401000645,2052.5923161400715,2052.9089694998693,2052.992237099912,2060.9922646998893,2060.9922646998893,2060.9922535399674,0.014562400057911873,0.11451980005949736,2062.008839499904,2063.008989199996,2063.192416700069,2063.708869499853,10.014264799887314,2071.10874950001,0.0007662998978048563,2071.10874950001,0.09760619979351759,2.0,2.9980232000816613,2074.142150999978,0.0021478000562638044,0.09739200002513826,2080.158778999932,2080.3255200398853,6.214046099921688,6.313825799850747,2081.325371899875,2100.325418339926,2100.3255088999867,26.21409949986264,26.31391799985431,2103.325372399995,2103.325372399995,0.014011200051754713,0.11393900006078184,2133.3252011998557,30.013816500082612,,10.09762250003405,,,,,,30.096959099872038,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,2133.4420634999406,0.030761699890717864,0.13043219991959631,2139.441825399874,6.030497099971399,2139.575179700041,2139.575179700041,0.030579699901863933,0.13043479970656335,space,2.347873300081119,2141.975408700062,2141.975408700062,5.070003680884838e-05,0.09798720013350248,num_9,1.4675710001029074,2143.4916735399747,0.0007553000468760729,0.09943970013409853,2143.808572900016,2144.2585361398524,2144.5583742000163,2145.05847824004,2145.3917960999534,2145.4585392000154,2153.458339500008,2153.458339500008,2153.4584527398692,-0.0005727999377995729,0.09955459996126592,2154.475002899999,2155.458466900047,2155.65856250003,2156.1751232999377,9.999430499970913,2163.5924839000218,0.0029251999221742153,2163.5924839000218,0.09932629996910691,5.0,4.164390799822286,2167.7919618999586,0.0015165999066084623,0.09924470004625618,2173.7919771000743,2173.9585712399567,6.199236399959773,6.2992197999265045,2174.958348199958,2193.9583235400496,2193.958251999924,26.199036800069734,26.282434100052342,2196.974955599988,2196.974955599988,0.015817000064998865,0.11575950006954372,2226.9914865000173,30.03232660004869,2194.9916101999115,10.099498600000516,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,2227.124819499906,0.03306739986874163,0.13228419981896877,2233.1247719998937,6.032237799838185,2233.2248881999403,2233.2248881999403,0.03248809976503253,0.1322783997748047,space,1.578071900177747,2234.8416657999624,2234.8416657999624,4.540011286735535e-05,0.09808979998342693,num_9,1.52949250000529,2236.4081904400373,0.0018026998732239008,0.09836509986780584,2236.7415376999415,2237.191481439979,2237.5081602998544,2238.008137939847,2238.3080203998834,2238.391478399979,2246.3913958000485,2246.3913958000485,2246.391453439952,0.014987600035965443,0.11479999986477196,2247.40811209986,2248.3914000000805,2248.591383599909,2249.091386999935,10.031405400019139,2256.5412818000186,0.034231599885970354,2256.5412818000186,0.1314430998172611,5.0,3.264851500047371,2259.8416134999134,0.0034298000391572714,0.09781419998034835,2265.841306899907,2266.0246195398504,6.2310345999430865,6.314216699916869,2267.0244429998565,2286.0244626399362,2286.024549999973,26.214225699892268,26.314057799987495,2289.024617200019,2289.024617200019,0.014380800072103739,0.11440699989907444,2319.024400099879,30.014083599904552,,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,2319.1578444000334,0.01478019985370338,0.11403669998981059,2325.174396999879,6.0306973999831825,2325.2743917999323,2325.2743917999323,0.030905799940228462,0.1307252999395132,space,2.121445700060576,2327.441086899955,2327.441086899955,4.440010525286198e-05,0.09775230009108782,num_9,1.8101440998725593,2329.291182540008,0.0021981000900268555,0.09792249999009073,2329.607671200065,2330.091092639952,2330.407683099853,2330.8744000400184,2331.1744864999782,2331.274371000007,2339.2743180999532,2339.2743180999532,2339.274347239989,0.014536899980157614,0.1146099001634866,2340.274186399998,2341.2743307999335,2341.4741946998984,2341.97441899986,10.031102300155908,2349.424185999902,0.033889800077304244,2349.424185999902,0.13098190003074706,6.0,4.964992099907249,2354.4243445999455,0.0036158000584691763,0.09901520004495978,2360.440910999896,2360.6242854398442,6.232086000032723,6.3321869999635965,2361.6409082999453,2380.607563839876,2380.607710799901,26.21561810001731,26.3153600001242,2383.6074592000805,2383.6074592000805,0.015412000007927418,0.11550440010614693,2413.624014500063,30.031937000108883,2381.607422699919,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,2413.757304499857,0.03246830007992685,0.13192249997518957,2419.7573027999606,6.031916300067678,2419.8407546998933,2419.8407546998933,0.01514789997600019,0.11518189986236393,space,2.066813000012189,2421.9406156998593,2421.9406156998593,3.8700178265571594e-05,0.09729260019958019,num_9,2.4946306999772787,2424.490834739874,0.0022494001314044,0.09780900017358363,2424.807285099989,2425.2738662400516,2425.5906145998742,2426.0739941400243,2426.39066429995,2426.473914099857,2434.473922899924,2434.473922899924,2434.473963939934,0.014487100066617131,0.11440320010297,2435.49057299993,2436.4739305998664,2436.673874599859,2437.157041499857,10.014661200111732,2444.6071927999146,0.017134600086137652,2444.6071927999146,0.11436380003578961,3.0,2.131670800037682,2446.7741239999887,0.002394600072875619,0.09745740005746484,2452.7904892999213,2452.973804339883,6.214299399871379,6.314390399958938,2453.990452399943,2472.9737565399846,2472.9737614998594,26.23103310004808,26.33100440003909,,2475.990523699904,0.016100200125947595,0.11426210007630289,2506.0069409999996,30.0308407000266,2473.9904155998956,,,,,,,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506.10693489993,0.03107369993813336,0.13073779991827905,2536.1234337999485,30.013986599864438,,,,6164,Gustatory,2025-02-07_11h03.00.098,Gustatory_Condition_v2,2022.2.5,29.9839735732439,
