loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,18.721901879366488,0.0016225003637373447,0.12045180005952716,19.134032899979502,19.4173779102508,19.834376399870962,19.834376399870962,0.020752300042659044,0.12044400023296475,34.851183800026774,15.004269999917597,34.95079280016944,34.95079280016944,0.004213999956846237,0.10377960000187159,space,7.739646899979562,,,,,,,,,,,,,,,,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
0,0,0,0,,,,,,,,,,,,,,,,,,42.73422900028527,0.0012342999689280987,0.09858760004863143,48.73405720014125,6.031952300108969,48.867793899960816,0.03267950005829334,0.13213699962943792,54.86737410025671,6.031840099953115,54.951164400205016,0.017929299734532833,0.11516259983181953,0.0,5.948343699797988,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
1,0,1,0,,,,,,,,,,,,,,,,,,60.93442700011656,0.000246499665081501,0.09928799979388714,66.95072429999709,6.015734499786049,67.50088070007041,0.31972189946100116,0.5658375998027623,,6.012197899632156,73.1339417998679,0.0027407994493842125,0.0992822996340692,0.0,3.93067179992795,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
2,0,2,0,,,,,,,,,,,,,,,,,,77.10090279998258,0.0002367999404668808,0.09906479995697737,83.11730290018022,6.015825900249183,83.23390890005976,0.03869519988074899,0.1329771000891924,89.21711530024186,5.999013900291175,89.3005472002551,0.002383799757808447,0.09918589983135462,0.0,3.2643522997386754,6.099297500215471,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
3,0,3,0,,,,,,,,,,,,,,,,,,92.6008987003006,0.0005274997092783451,0.09714279975742102,98.61731750005856,6.013582000043243,98.73401369992644,0.02509429957717657,0.13034879975020885,104.73393840016797,6.030262499582022,104.83395519992337,0.03337489953264594,0.13021979946643114,2.0,4.164520599879324,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
4,0,4,0,,,,,,,,,,,,,,,,,,109.03415000019595,0.0005796998739242554,0.09714420000091195,115.05056130001321,6.0136947999708354,115.2340317000635,0.10261169960722327,0.19721779972314835,121.23388740001246,6.030357799958438,121.26715299999341,0.033627699594944715,0.13056369964033365,0.0,2.8309317999519408,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
5,0,5,0,,,,,,,,,,,,,,,,,,124.13415769999847,0.0005866996943950653,0.0971057997085154,130.15062880003825,6.013735800050199,130.2672969000414,0.02823259960860014,0.13052259990945458,136.26720800017938,6.0303396997042,136.3504733000882,0.015103399753570557,0.11388589954003692,0.0,2.3328738999553025,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
6,0,6,0,,,,,,,,,,,,,,,,,,138.71752300020307,0.00045009981840848923,0.09761770023033023,144.73388329986483,6.014252500142902,144.967608100269,0.10124359978362918,0.2477833000011742,,6.014256299939007,150.93371920008212,0.01687349984422326,0.11442400002852082,0.0,2.5317440000362694,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
7,0,7,0,,,,,,,,,,,,,,,,,,153.50085279997438,0.00022070016711950302,0.09905679989606142,159.51708600018173,6.015753599815071,159.63377849990502,0.032501899637281895,0.13262079982087016,165.63377400022,6.032364799641073,165.73367629991844,0.03496349975466728,0.13224389962852,1.0,2.5984884002245963,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
8,0,8,0,,,,,,,,,,,,,,,,,,168.3671141001396,0.0004342002794146538,0.09869559993967414,174.3502723001875,6.015215599909425,174.48420910025015,0.019876699894666672,0.11555680027231574,180.48364089988172,6.015211999882013,180.58386400016025,0.015577999874949455,0.13173749996349216,1.0,2.7339870003052056,,6.098470699973404,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
9,0,9,0,,,,,,,,,,,,,,,,,,183.35061520012096,0.0005233995616436005,0.09738799976184964,189.35039230016991,6.0308595998212695,189.50030749989673,0.04352739965543151,0.14748659962788224,195.50032710004598,6.013934299815446,195.56698650028557,0.015887399669736624,0.11390139954164624,0.0,2.2657604003325105,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
10,0,10,0,,,,,,,,,,,,,,,,,,197.86703380011022,0.00038579991087317467,0.09752049995586276,203.8669997001998,6.030772199854255,204.13374020019546,0.1285620997659862,0.2640439998358488,,6.030643999576569,210.10022530006245,0.03331259964033961,0.13088529976084828,0.0,2.1317404001019895,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
11,0,11,0,,,,,,,,,,,,,,,,,,212.2670662999153,0.0008759996853768826,0.09679339965805411,218.26707720011473,6.030179899651557,218.41685350006446,0.045451299753040075,0.14666029997169971,224.41692470014095,6.013291099574417,224.48351240018383,0.015757099725306034,0.1132927997969091,1.0,3.265241799876094,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
12,0,12,0,,,,,,,,,,,,,,,,,,227.7839739001356,0.00023580016568303108,0.09918220015242696,233.80028510000557,6.015811100136489,233.9168124999851,0.032361899968236685,0.13240250013768673,239.91689120000228,5.999061500187963,239.98354370007291,0.002151499968022108,0.0988993002101779,1.0,2.8979596002027392,6.099082800094038,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
13,0,13,0,,,,,,,,,,,,,,,,,,242.91698910016567,0.0006764000281691551,0.09745689993724227,248.90003160014749,6.013899699784815,249.03349489998072,0.010636799968779087,0.114134700037539,255.0334549001418,6.013990699779242,255.1335384999402,0.01679369993507862,0.11396479979157448,3.0,3.8317064000293612,,6.097259599715471,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
14,0,14,0,,,,,,,,,,,,,,,,,,259.00038739992306,0.00041380012407898903,0.09807260008528829,264.9833332998678,6.014459100086242,265.13341940008104,0.03790069976821542,0.13123669987544417,271.13365089986473,6.031461199745536,271.21664390014485,0.016856799833476543,0.11450909962877631,0.0,2.83196510002017,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
15,0,15,0,,,,,,,,,,,,,,,,,,274.0837678001262,0.0006467998027801514,0.096934599801898,280.10010959999636,6.013528099749237,280.21660530008376,0.037954899948090315,0.1303399996832013,286.21676160022616,6.030234399717301,286.3166403998621,0.03298709960654378,0.13022479973733425,0.0,2.431466900277883,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
16,0,16,0,,,,,,,,,,,,,,,,,,288.78339989995584,0.00023899972438812256,0.09932619985193014,294.7835416998714,5.999207499902695,294.91657390026376,0.040277399588376284,0.1325387000106275,300.9166951999068,5.99918229971081,300.983252200298,0.0007774997502565384,0.09920359961688519,0.0,2.565947000402957,6.0990742999129,6.099310699850321,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
17,0,17,0,,,,,,,,,,,,,,,,,,303.583531900309,0.0005740998312830925,0.09747189981862903,309.60005109990016,6.014318199828267,309.7333427001722,0.044459199998527765,0.14770189998671412,315.73329559993,6.014081900008023,315.7998168002814,0.016931699588894844,0.11396639980375767,2.0,3.6981275998987257,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
18,0,18,0,,,,,,,,,,,,,,,,,,319.53353470005095,0.00022120028734207153,0.09900010004639626,325.51638450007886,6.015365500003099,325.649960400071,0.013533600140362978,0.11598180001601577,331.65015190001577,6.015853899996728,331.74983850028366,0.017237099818885326,0.11550060007721186,2.0,2.5992671996355057,,6.098837800323963,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
19,0,19,0,,,,,,,,,,,,,,,,,,334.3833146998659,0.00023690005764365196,0.09920789999887347,340.39989180024713,6.015784200280905,340.5330789000727,0.053623899817466736,0.1491008000448346,346.51634539989755,6.015762099996209,346.59975890023634,0.017232799902558327,0.11586189968511462,2.0,2.899497500155121,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
20,0,20,0,,,,,,,,,,,,,,,,,,349.5333874002099,0.00022079981863498688,0.11584079964086413,355.53314980026335,5.999135199934244,355.649758100044,0.025702299550175667,0.11584259988740087,361.64982669986784,6.015711299609393,361.7496647001244,0.018453599885106087,0.11574739962816238,0.0,2.3649678002111614,,6.099107699934393,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
21,0,21,0,,,,,,,,,,,,,,,,,,364.15000070026144,0.0005501997657120228,0.09709309972822666,370.1329057998955,6.01347959972918,370.2663374999538,0.017145599704235792,0.11392429983243346,376.2664359002374,6.01367549970746,376.36630639992654,0.016407299786806107,0.11359929945319891,1.0,3.231554999947548,,6.096995699685067,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
22,0,22,0,,,,,,,,,,,,,,,,,,379.6334009002894,0.00047270022332668304,0.09740300010889769,385.63302339985967,6.030645100399852,385.7829692000523,0.05187680013477802,0.14731700019910932,391.76621770020574,6.013920800294727,391.84956660028547,0.016293200198560953,0.11385530000552535,1.0,2.3654317003674805,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
23,0,23,0,,,,,,,,,,,,,,,,,,394.24994469992816,0.00028869975358247757,0.0993220997042954,400.2495714998804,6.015914999879897,400.3995674001053,0.048472399823367596,0.14940299978479743,406.39967830013484,6.015781699679792,406.4663062999025,0.018654499668627977,0.11593589978292584,1.0,2.0978621998801827,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
24,0,24,0,,,,,,,,,,,,,,,,,,408.599632400088,0.0007354998961091042,0.09735450008884072,414.6165050002746,6.013706999830902,414.7161818998866,0.023182599805295467,0.11365390010178089,420.7162498002872,6.013627800159156,420.8161710998975,0.01613650005310774,0.11365669965744019,1.0,2.098579800222069,,,7408,Visual,2024-08-24_10h46.16.881,Visual_Condition_v2,2022.2.5,29.98574478706913,
