loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,p_port_9.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,15.156072398880497,0.0006001999136060476,0.09783299989067018,15.571635599946603,15.838498339988291,16.271769099868834,16.271769099868834,0.01370139978826046,0.11455479986034334,31.271835800027475,15.01440619979985,31.38836760004051,31.38836760004051,0.0312579998280853,0.1311182996723801,space,3.4849207000806928,,,,,,,,,,,,,,,,,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
0,0,0,0,,,,,,,,,,,,,,,,,,34.9217763999477,0.0012856998946517706,0.09906570008024573,40.93832929991186,6.015888300025836,41.08837859984487,0.057887899922207,0.1658002999611199,5.999013299820945,47.08834509993903,6.099095799960196,47.12152320006862,0.0023707998916506767,0.09914069972001016,1.0,5.6475215998943895,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
1,0,1,0,,,,,,,,,,,,,,,,,,52.805441099917516,0.0005723999347537756,0.09695699997246265,58.80494130006991,6.030267299851403,58.97154169995338,0.060104799922555685,0.16375249973498285,6.03025639988482,64.97159119998105,,65.03830819996074,0.032355099683627486,0.13039169972762465,1.0,2.432194600114599,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
2,0,2,0,,,,,,,,,,,,,,,,,,67.5051096000243,0.0002234000712633133,0.09932190016843379,73.52155229984783,6.0156375002115965,73.63820019993,0.03042749990709126,0.13253649999387562,5.999095499981195,79.63821620005183,6.09905320010148,79.70478979987092,0.002325400011613965,0.09895779984071851,0.0,1.4642841999884695,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
3,0,3,0,,,,,,,,,,,,,,,,,,81.20529129984789,0.00022700009867548943,0.09932180005125701,87.2216093998868,6.015752400038764,87.33858509990387,0.04094849992543459,0.13244590000249445,5.9991607998963445,93.33815440000035,6.09909430006519,93.404857999878,0.0026241999585181475,0.09900359995663166,1.0,1.8973908999469131,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
4,0,4,0,,,,,,,,,,,,,,,,,,95.3384821000509,0.0005000999663025141,0.09703959990292788,101.33816519984975,6.030284099979326,101.48808919987641,0.04973289975896478,0.14692819979973137,6.013600299833342,107.48814589995891,,107.55479760002345,0.016231399727985263,0.11378509970381856,0.0,2.0981389000080526,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
5,0,5,0,,,,,,,,,,,,,,,,,,109.68849619990215,0.0004811000544577837,0.09760700003243983,115.6881432000082,6.030966600170359,115.88795630005188,0.1012899000197649,0.197631899965927,6.03091900004074,121.87130300002173,,121.9047582000494,0.016215499956160784,0.11418239981867373,0.0,1.2988849999383092,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
6,0,6,0,,,,,,,,,,,,,,,,,,123.23805970000103,0.0007004998624324799,0.09696260001510382,129.25471929996274,6.013597499812022,129.37134189996868,0.027813099790364504,0.13024789979681373,6.030229599913582,135.3713769998867,,135.47138320002705,0.03350809961557388,0.13001589966006577,0.0,1.2976381001062691,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
7,0,7,0,,,,,,,,,,,,,,,,,,136.80498989997432,0.00046710018068552017,0.09743109997361898,142.80467920005322,6.0306649000849575,143.3380905999802,0.2867445999290794,0.5308294000569731,6.013966799946502,,,149.02179779997095,0.016546799801290035,0.11406069993972778,0.0,1.5649470000062138,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
8,0,8,0,,,,,,,,,,,,,,,,,,150.6216116999276,0.0004835000727325678,0.09730980009771883,156.62133169989102,6.03059530002065,156.77140329987742,0.049489199882373214,0.1471877999138087,6.013845599954948,162.7713059000671,,162.83787920000032,0.016580999828875065,0.11378079978749156,2.0,2.2315923999994993,,1550,Visual,2025-03-11_14h01.47.860,Visual_Condition_v2,2022.2.5,29.952656818832722,
