loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.901575022377074,0.0005630999803543091,0.11453130003064871,13.603124229703099,14.036788699682802,0.0323399999178946,0.13076529977843165,15.014119299594313,29.05334149999544,29.119958699680865,29.119958699680865,0.014218999538570642,0.11411009961739182,space,8.803958100266755,,,,,,,,,,,,,,,,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
0,0,0,0,,,,,,,,,,,,,,,,37.96992969978601,0.0035298001021146774,0.09841390000656247,43.98665619967505,6.0150902001187205,44.119808099698275,0.046759000048041344,0.14843379985541105,6.0152785000391304,50.12008809996769,50.18642639974132,0.017840899527072906,0.11505499994382262,2.0,1.8317384999245405,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
1,0,1,0,,,,,,,,,,,,,,,,52.05348329991102,0.0008045998401939869,0.09671749966219068,58.06996889971197,6.013261300045997,58.18649069964886,0.04138729954138398,0.130065499804914,6.030014499556273,64.1866488000378,64.28651409968734,0.03310229955241084,0.12987609952688217,0.0,1.4977762000635266,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
2,0,2,0,,,,,,,,,,,,,,,,65.8202109998092,0.0005891001783311367,0.09684520028531551,71.82000479986891,6.030132100451738,71.9866521996446,0.047650699969381094,0.16363950027152896,6.030031300149858,77.9866875000298,78.05329759977758,0.03267290024086833,0.13014979986473918,1.0,1.0650786999613047,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
3,0,3,0,,,,,,,,,,,,,,,,79.1533844997175,0.0006444999016821384,0.09666949976235628,85.13650529971346,6.0132093001157045,85.28685140004382,0.038628799840807915,0.12999479984864593,6.030155299697071,91.28667839989066,91.38651139987633,0.032816299702972174,0.13011319981887937,2.0,1.6317451996728778,6.09664070000872,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
4,0,4,0,,,,,,,,,,,,,,,,93.053539799992,0.0006148000247776508,0.09682930028066039,99.06996089965105,6.013596100267023,99.73685899982229,0.4339534002356231,0.680273000150919,6.009914299938828,,105.26986789982766,0.01180939981713891,0.11354679986834526,0.0,1.2028993000276387,,6.093129500281066,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
5,0,5,0,,,,,,,,,,,,,,,,106.50371389975771,0.0005096001550555229,0.09767069993540645,112.51999339973554,6.014240600168705,112.63685050001368,0.030096800066530704,0.1311566000804305,6.0309402998536825,118.63665719982237,118.71998779987916,0.016546299681067467,0.11419399967417121,1.0,2.165401400066912,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
6,0,6,0,,,,,,,,,,,,,,,,120.92019409965724,0.00022430019453167915,0.09904920030385256,126.93673709966242,6.015797100029886,127.12006199965253,0.07589229987934232,0.1990446001291275,5.999072700273246,133.11997810006142,133.11997810006142,0.002446199767291546,0.09901539981365204,2.0,1.464291200041771,,6.099120100028813,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
7,0,7,0,,,,,,,,,,,,,,,,134.62041819980368,0.00022110017016530037,0.11608200008049607,140.62009079987183,5.9990677000023425,140.73673099977896,0.014690000098198652,0.11592300003394485,6.0157248000614345,146.73671029973775,146.8366004000418,0.017690999899059534,0.11575859971344471,1.0,1.1324281999841332,6.099022900220007,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
8,0,8,0,,,,,,,,,,,,,,,,148.00339529989287,0.0005633998662233353,0.09764689998701215,154.0201968997717,6.0143256997689605,154.13665569992736,0.0330887995660305,0.13114740001037717,6.030972999986261,160.13674049964175,160.23676129989326,0.03342759981751442,0.1309417998418212,2.0,1.666466400027275,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
9,0,9,0,,,,,,,,,,,,,,,,161.93696679966524,0.0006332001648843288,0.09702590014785528,167.93672769982368,6.030524800065905,168.0867073996924,0.04518759995698929,0.14715960016474128,6.013839799910784,174.08672949997708,174.15326859988272,0.016487800050526857,0.11384580004960299,0.0,1.4317224998958409,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
10,0,10,0,,,,,,,,,,,,,,,,175.62036269996315,0.0007887999527156353,0.09724700031802058,181.62005339981988,6.030591000337154,181.7699779998511,0.05079270014539361,0.14731469983235002,6.013912700116634,187.75325609976426,187.83663340006024,0.016247199848294258,0.11392290005460382,1.0,1.4320706999860704,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
11,0,11,0,,,,,,,,,,,,,,,,189.3037117999047,0.0005597998388111591,0.0975581998936832,195.32005729991943,6.013974299654365,195.43652619980276,0.042470299638807774,0.13096109963953495,6.03067239979282,201.4367534997873,201.53663049964234,0.033403399866074324,0.1305938996374607,0.0,1.1985838999971747,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
12,0,12,0,,,,,,,,,,,,,,,,202.7702464000322,0.0004517999477684498,0.09841200010851026,208.78699649963528,6.014548299834132,208.88705179980025,0.025115699972957373,0.11431480012834072,6.01430149981752,214.88694910006598,214.98672429984435,0.016855800058692694,0.11431419989094138,0.0,1.2984337001107633,,,3266,Visual,2025-02-24_09h20.26.718,Visual_Condition_v2,2022.2.5,30.037002553989897,
