loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.11412339983508,0.0008153999224305153,0.12507650000043213,16.4304144999478,16.696976600098424,17.313832400017418,17.630529399961233,17.897116599953733,18.23026810004376,18.23026810004376,0.04137329990044236,0.14153029979206622,33.24704589997418,15.02481979993172,33.34697960014455,0.024704199749976397,0.12503309966996312,33.81378010008484,space,1.8477455000393093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,Moral,2025-03-11_12h52.28.438,MoralCondition_v2,2022.2.5,30.026468327136392,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,35.7137267999351,0.003288199892267585,0.0983330998569727,41.713816799921915,6.0318068999331445,42.163604100001976,42.163604100001976,0.28142779995687306,0.44829839980229735,6.0150160999037325,48.030321000143886,48.030321000143886,48.030321000143886,0.07685269974172115,0.2149109998717904,53.73038990003988,53.89709400013089,6.0150915996637195,6.115138999884948,59.89706679992378,12.015038899844512,60.03040980012156,60.03040980012156,0.015283099608495831,0.11497329967096448,down,10.687749999808148,70.76379230013117,8.240016177296638e-05,0.09542770008556545,76.81359170004725,76.81359170004725,0.03561420016922057,0.14553880016319454,6.0,5.177437799982727,,,,,,,,,,,,,,,1550,Moral,2025-03-11_12h52.28.438,MoralCondition_v2,2022.2.5,30.026468327136392,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.01361100003123,82.01361100003123,0.00945089990273118,0.0990827998612076,6.0,4.457347700139508,,,,,,,,,,,,,,,1550,Moral,2025-03-11_12h52.28.438,MoralCondition_v2,2022.2.5,30.026468327136392,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5136494000908,86.5136494000908,0.007883799960836768,0.09941809996962547,6.0,2.9925506999716163,,,,,,,,,,,,,,,1550,Moral,2025-03-11_12h52.28.438,MoralCondition_v2,2022.2.5,30.026468327136392,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.56385280005634,89.56385280005634,0.01009150012396276,0.11434420011937618,6.0,2.3049509001430124,,,,,,,,,,,,,,,1550,Moral,2025-03-11_12h52.28.438,MoralCondition_v2,2022.2.5,30.026468327136392,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.91393720009364,91.91393720009364,0.01212550001218915,0.11416989983990788,1.0,3.3699463999364525,,,,,,,,,,,,,,,1550,Moral,2025-03-11_12h52.28.438,MoralCondition_v2,2022.2.5,30.026468327136392,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3306132000871,95.3306132000871,0.009108100086450577,0.1150766999926418,1.0,1.7067192001268268,,,,,,,,,,,,,,,1550,Moral,2025-03-11_12h52.28.438,MoralCondition_v2,2022.2.5,30.026468327136392,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0805027000606,97.0805027000606,0.00983919994905591,0.11422819993458688,7.0,3.005262800026685,,,,,,,,,,,,,,,1550,Moral,2025-03-11_12h52.28.438,MoralCondition_v2,2022.2.5,30.026468327136392,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.11370340012945,100.11370340012945,0.0013069999404251575,0.09754560003057122,2.0,7.164049800019711,,,,,,,,,1550,Moral,2025-03-11_12h52.28.438,MoralCondition_v2,2022.2.5,30.026468327136392,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,107.31409470015205,0.00031029991805553436,0.09791969996877015,113.3303859999869,6.014385299989954,113.56385149993002,113.56385149993002,0.13601689995266497,0.2481083997990936,6.014260399853811,119.61382089997642,119.61382089997642,119.61382089997642,0.09257029974833131,0.197951499838382,125.31370209995657,125.51367740007117,6.031058699823916,6.131195399910212,131.5137072999496,12.031107999850065,131.64723320002668,131.64723320002668,0.03139739972539246,0.1310249997768551,down,1.0540160997770727,132.7637557000853,4.850002005696297e-05,0.09812550013884902,138.79699880001135,138.79699880001135,0.026154899969697,0.13118440005928278,2.0,2.405953000066802,,,,,,,131.6138562001288,131.6138562001288,,,,,,,1550,Moral,2025-03-11_12h52.28.438,MoralCondition_v2,2022.2.5,30.026468327136392,
