loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,p_port_7.started,cross.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.34831810038304,0.0006172999856062233,0.12632680003298447,11.765035999997053,12.048342890001368,12.481764999974985,12.481764999974985,0.009278500045184046,0.12630050000734627,15.009649300016463,27.481747199955862,27.564976699999534,27.564976699999534,0.00971200002823025,0.10961420007515699,space,4.395985900016967,,,,,,,,,,,,,,,,666,Visual,2024-10-24_11h17.23.813,Visual_Condition_v2,2022.2.5,59.951643020386676,
0,0,0,0,,,,,,,,,,,,,,,,,,31.998367199965287,0.0005133000086061656,0.11591470002895221,6.012250899977516,38.01500620000297,38.13183389999904,0.02514910005265847,0.16591360000893474,5.999323400028516,44.14830699999584,44.21501649997663,0.01684570003999397,0.14932340005179867,3.0,3.567168599984143,666,Visual,2024-10-24_11h17.23.813,Visual_Condition_v2,2022.2.5,59.951643020386676,
1,0,1,0,,,,,,,,,,,,,,,,,,47.815156399970874,0.00033519999124109745,0.11466049996670336,6.011052399990149,53.82819380000001,53.96517189999577,0.046059300017077476,0.18143050000071526,6.014728899986949,59.981598799990024,60.03173029999016,0.015358000062406063,0.14802510006120428,1.0,3.6003814000287093,666,Visual,2024-10-24_11h17.23.813,Visual_Condition_v2,2022.2.5,59.951643020386676,
,,,,,,,,,,,,,,,,,,,,,63.66491859999951,0.00017410004511475563,0.11559050000505522,,,,,,,,,,,,,,,,,,,
