loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,18.542512959952003,0.0005506000015884638,0.10042389994487166,18.941999200033024,19.22523632006487,19.641950799967162,19.641950799967162,0.01727389998268336,0.11767419998068362,34.642031399998814,15.017404799931683,34.758672400028445,34.758672400028445,0.0007851000409573317,0.10069920006208122,space,5.917596100014634,,,,,,,,,,,,,,,,,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
0,0,0,0,,,,,,,,,,,,,,,,,,40.7253544999985,0.016113299992866814,0.1134622999234125,46.708556100027636,6.013263199944049,6.096676399931312,46.84196750004776,0.013571099960245192,0.13012380001600832,52.82508850004524,6.029806499951519,52.92537870001979,0.013826600043103099,0.1133152999682352,2.0,3.933775700046681,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
1,0,1,0,,,,,,,,,,,,,,,,,,56.89237230003346,0.0005237999139353633,0.09756909997668117,62.90869259997271,6.014175699907355,,63.02530990005471,0.029280100017786026,0.13085329998284578,69.02535270003136,6.030775699997321,69.12535750004463,0.03333300002850592,0.1305146999657154,0.0,2.098314299946651,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
2,0,2,0,,,,,,,,,,,,,,,,,,71.25891360000242,0.00057050003670156,0.09751820005476475,77.27533430000767,6.014124699984677,,77.4086722000502,0.0517524000024423,0.14736740000080317,83.40871220000554,6.014058000058867,83.47527960001025,0.016761200036853552,0.11401230003684759,3.0,2.9650095999240875,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
3,0,3,0,,,,,,,,,,,,,,,,,,86.47564950003289,0.0006331000477075577,0.09735370008274913,92.45849059999455,6.013642400037497,,92.60876149998512,0.02815640007611364,0.13081520004197955,98.60874060005881,6.030602700076997,98.70862130005844,0.032927600084804,0.13063090003561229,0.0,1.6652965999674052,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
4,0,4,0,,,,,,,,,,,,,,,,,,100.40891270001885,0.0005519000114873052,0.09708099998533726,106.42534820002038,6.013738700072281,,106.55858630000148,0.04418190009891987,0.14724460011348128,112.55873509997036,6.013757700100541,112.62545170006342,0.015407100087031722,0.113882000092417,3.0,1.9990674000000581,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
5,0,5,0,,,,,,,,,,,,,,,,,,114.65880660002586,0.00039060006383806467,0.09858740004710853,120.67543150007259,6.015193900093436,,120.80859639996197,0.05709050002042204,0.14874410012271255,126.8087054999778,6.014924400020391,126.87524359999225,0.01780170004349202,0.11514390003867447,3.0,0.8983526999363676,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
6,0,6,0,,,,,,,,,,,,,,,,,,127.80902140005492,0.0006906000198796391,0.09757129999343306,133.80870050005615,6.030910800094716,,133.9753395000007,0.06008330010809004,0.1642194000305608,139.97539679997135,6.030951100052334,140.04196529998444,0.03367510007228702,0.13109590008389205,3.0,1.4648346999892965,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
7,0,7,0,,,,,,,,,,,,,,,,,,141.54208559996914,0.00022529996931552887,0.0992032999638468,147.5419956999831,5.999323199968785,6.099238900002092,147.65861380007118,0.014264600002206862,0.1159261999418959,153.64200700004585,6.015851099975407,153.74203079997096,0.001906599965877831,0.09927010000683367,3.0,1.031796499970369,6.099136799923144,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
8,0,8,0,,,,,,,,,,,,,,,,,,154.80874730006326,0.000901999999769032,0.09705209999810904,160.82538589998148,6.013673700043,,160.97556340007577,0.05957969999872148,0.16385510005056858,166.97553369996604,6.030342300073244,167.04192960006185,0.03138100006617606,0.13024780002888292,3.0,1.466604100074619,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
9,0,9,0,,,,,,,,,,,,,,,,,,168.5422838999657,0.0006433000089600682,0.09715060004964471,174.54206520004664,6.030579200014472,,175.1088449000381,0.2936753999674693,0.5637073999969289,,6.01388580002822,180.73822090006433,0.010934800026006997,0.09330459998454899,1.0,2.5206797999562696,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
10,0,10,0,,,,,,,,,,,,,,,,,,183.30891350004822,0.0006262999959290028,0.09676449990365654,189.2919419000391,6.013338999939151,6.0968784999568015,189.42538290005177,0.01226490002591163,0.11345189996063709,195.4254518999951,6.013672500033863,195.52541410003323,0.016100100008770823,0.11367520003113896,0.0,1.2314875000156462,,678,Visual,2024-09-17_10h30.12.906,Visual_Condition_v2,2022.2.5,30.052474619667144,
