loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,32.18863388635218,0.0006344001740217209,0.10984349995851517,32.869974619522694,33.286604000255466,33.286604000255466,0.02644510008394718,0.12655650079250336,48.303386898711324,15.009909799322486,48.40321649983525,48.40321649983525,0.010003101080656052,0.1265357006341219,space,7.087831001728773,,,,,,,,,,,,,,,,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
0,0,0,0,,,,,,,,,,,,,,,,,55.55340159870684,0.003959000110626221,0.09845850057899952,61.57003070041537,6.015070900321007,61.686590200290084,0.029997600242495537,0.13195469975471497,67.68669129908085,6.031911799684167,67.7866459004581,0.03431989997625351,0.13179690018296242,0.0,4.515311600640416,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
1,0,1,0,,,,,,,,,,,,,,,,,72.33697379939258,0.00048789940774440765,0.0974505003541708,78.33672089874744,6.0306860990822315,78.52000759914517,0.0746592003852129,0.1805907003581524,84.52004179917276,6.01388500072062,84.55333760008216,0.016703501343727112,0.11383750103414059,2.0,4.698426499962807,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
2,0,2,0,,,,,,,,,,,,,,,,,89.2871106993407,0.0008014999330043793,0.09704259969294071,95.30335339903831,6.013547899201512,95.42028770036995,0.033977899700403214,0.13022660091519356,101.42000349983573,6.030245300382376,101.51986330002546,0.03342430107295513,0.13001650013029575,2.0,7.931461300700903,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
3,0,3,0,,,,,,,,,,,,,,,,,109.48674109950662,0.0002287011593580246,0.09893440082669258,115.4867844991386,6.032206401228905,115.65318679995835,0.07149270176887512,0.16555550135672092,121.65339319966733,6.032100701704621,121.71990559995174,0.03504580073058605,0.1319874022156,1.0,1.8649158999323845,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
4,0,4,0,,,,,,,,,,,,,,,,,123.62034749984741,0.0005293991416692734,0.09741109982132912,129.6200361996889,6.030702700838447,129.76991789974272,0.04553670063614845,0.14728190004825592,135.77002129890025,6.013985499739647,135.83661299943924,0.016859501600265503,0.1138503011316061,0.0,1.7981547005474567,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
5,0,5,0,,,,,,,,,,,,,,,,,137.67034539952874,0.0004952996969223022,0.09731859900057316,143.68667580001056,6.014121798798442,143.8033189997077,0.028588000684976578,0.13067569956183434,149.8033565003425,6.030741399154067,149.9032811988145,0.03340480104088783,0.13060070015490055,3.0,2.7317979000508785,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
6,0,6,0,,,,,,,,,,,,,,,,,152.6702047996223,0.0004996005445718765,0.09734800085425377,158.67003230005503,6.030736301094294,158.7865941002965,0.01940690167248249,0.11390620097517967,164.78667419962585,6.013999801129103,164.88672659918666,0.016732001677155495,0.1139295008033514,1.0,4.365021798759699,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
7,0,7,0,,,,,,,,,,,,,,,,,169.2869322001934,0.00047819875180721283,0.09777159988880157,175.2866831999272,6.031039798632264,175.53694219887257,0.12460209988057613,0.2477163001894951,,6.014359099790454,181.5033317003399,0.01718059927225113,0.1143024992197752,2.0,3.1649862993508577,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
8,0,8,0,,,,,,,,,,,,,,,,,184.70330519974232,0.0004514995962381363,0.09718440100550652,190.71997099928558,6.013798899948597,190.83675660006702,0.02795800007879734,0.13041800074279308,196.83676529861987,6.030375899747014,196.93668239936233,0.03333060070872307,0.13036750070750713,1.0,7.097893001511693,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
9,0,9,0,,,,,,,,,,,,,,,,,204.07017729990184,0.0005450006574392319,0.09709119983017445,210.0699853003025,6.03042159974575,210.21990909986198,0.04672690108418465,0.14703020080924034,216.22002439945936,6.013765500858426,216.28653579950333,0.016617801040410995,0.11369569972157478,1.0,1.9314697999507189,,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
10,0,10,0,,,,,,,,,,,,,,,,,218.25358389876783,0.0002621002495288849,0.09913429990410805,224.25334729999304,5.999097401276231,224.36989449895918,0.014994900673627853,0.11579560115933418,230.37003299966455,6.015765201300383,230.46994949877262,0.018762800842523575,0.11571330204606056,3.0,3.231369201093912,6.099266100674868,,676,Visual,2024-06-05_14h56.23.749,Visual_Condition_v2,2022.2.5,29.961334836671323,
