loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,p_port_6.started,fixation_cross.stopped,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,p_port_10.started,accept_reject.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.90810022647493,0.0008310996927320957,0.13746519992128015,19.22508870018646,19.508549790037797,19.82501639984548,20.12518329001032,20.7047876898665,21.041744300164282,0.0026633995585143566,0.12068729987367988,36.05851319991052,15.020781399682164,36.14198279986158,0.004198599606752396,0.13745819963514805,36.64186319988221,space,2.0064432001672685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599,Moral,2024-11-20_14h32.54.226,MoralCondition_v2,2022.2.5,59.84927555154056,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,38.69199019996449,0.00041110021993517876,0.13305810000747442,5.999684300273657,44.725162600167096,45.024969100020826,45.024969100020826,0.18947929982095957,0.36634150007739663,5.99975850014016,51.025336999911815,51.025336999911815,51.025336999911815,0.09544789977371693,0.2663182998076081,56.75861010001972,56.89173510018736,5.999707799870521,6.132986099924892,11.999723100103438,62.925272199790925,63.02512770006433,63.02512770006433,0.03323589963838458,0.16636949963867664,up,2.8227162999100983,65.90857079997659,5.570007488131523e-05,0.13048719987273216,71.95845809997991,71.95845809997991,0.043946399819105864,0.18046149984002113,3.0,9.887511200271547,,,,,,,3599,Moral,2024-11-20_14h32.54.226,MoralCondition_v2,2022.2.5,59.84927555154056,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.89184320019558,81.89184320019558,0.01091929990798235,0.14702139981091022,1.0,5.370483899954706,,,,,,,3599,Moral,2024-11-20_14h32.54.226,MoralCondition_v2,2022.2.5,59.84927555154056,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.30847040005028,87.30847040005028,0.01210859976708889,0.148038599640131,1.0,2.63687239959836,,,,,,,3599,Moral,2024-11-20_14h32.54.226,MoralCondition_v2,2022.2.5,59.84927555154056,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.99194379989058,89.99194379989058,0.011558200232684612,0.1478711999952793,1.0,2.0375489997677505,,,,,,,3599,Moral,2024-11-20_14h32.54.226,MoralCondition_v2,2022.2.5,59.84927555154056,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.07524710008875,92.07524710008875,0.010211700107902288,0.1471633999608457,1.0,1.8710972000844777,,,,,,,3599,Moral,2024-11-20_14h32.54.226,MoralCondition_v2,2022.2.5,59.84927555154056,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.97496849996969,93.97496849996969,0.008273799903690815,0.13236379995942116,6.0,6.691934100352228,,,,,,,3599,Moral,2024-11-20_14h32.54.226,MoralCondition_v2,2022.2.5,59.84927555154056,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.7253088997677,100.7253088997677,0.00990170007571578,0.1490525002591312,1.0,3.273523800075054,,,,,,,3599,Moral,2024-11-20_14h32.54.226,MoralCondition_v2,2022.2.5,59.84927555154056,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.02515550004318,104.02515550004318,0.0019720997661352158,0.13082859991118312,6.0,6.663281999994069,3599,Moral,2024-11-20_14h32.54.226,MoralCondition_v2,2022.2.5,59.84927555154056,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,110.7251292001456,0.00014699995517730713,0.1325211999937892,6.032469899859279,116.75837269984186,116.99166359985247,116.99166359985247,0.16349339997395873,0.29915119986981153,5.999094099737704,123.02506039990112,123.02506039990112,123.02506039990112,0.09104709979146719,0.2325845998711884,128.75827520014718,128.9251439999789,5.999057199805975,6.132402399554849,11.999046199955046,134.95852749980986,135.0583592997864,135.0583592997864,0.032577999867498875,0.1657206998206675,down,1.9097261000424623,137.0250137001276,4.990026354789734e-05,0.13137330021709204,143.0585296000354,143.0585296000354,0.02606220031157136,0.16481330012902617,1.0,5.973006200045347,,,,,,,3599,Moral,2024-11-20_14h32.54.226,MoralCondition_v2,2022.2.5,59.84927555154056,
