loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Instructions_Affinity_Score.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,22.085449159378186,0.0008574000094085932,0.10104059998411685,22.667709469911642,22.967757000005804,23.267753969994374,23.567757299984805,23.867701569921337,24.20113419997506,24.20113419997506,0.0020886000711470842,0.10124510002788156,39.20117829996161,15.00129000004381,39.30118439998478,0.0012621000641956925,0.10118970007169992,39.76787239999976,space,1.3475275000091642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660,Moral,2025-03-04_17h31.15.868,MoralCondition_v2,2022.2.5,29.962394198714776,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,41.151170999975875,0.0012223999947309494,0.09823320002760738,47.15141019993462,6.031715800054371,47.367969999904744,47.367969999904744,0.07621500000823289,0.21487480006180704,6.014742200030014,53.45131659996696,53.45131659996696,53.45131659996696,0.0697628001216799,0.19817000010516495,59.15124009991996,59.35116540000308,6.0315166000509635,6.131406200118363,65.35118699993473,12.031459800084122,65.45122259994969,65.45122259994969,65.48451619991101,65.48451619991101,0.03182400006335229,0.13138900010380894,up,1.9670708000194281,67.48452469997574,4.630000330507755e-05,0.09703499998431653,73.50137209997047,73.50137209997047,73.50137209997047,0.00888079998549074,0.11378510005306453,2.0,5.289158699917607,,,,,,,,,,,,1660,Moral,2025-03-04_17h31.15.868,MoralCondition_v2,2022.2.5,29.962394198714776,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.83469719998538,78.83469719998538,0.00847769994288683,0.11421110003720969,2.0,2.5070252999430522,,,,,,,,,,,,1660,Moral,2025-03-04_17h31.15.868,MoralCondition_v2,2022.2.5,29.962394198714776,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3677012999542,81.3677012999542,0.008091799914836884,0.09814309992361814,1.0,2.890902099898085,,,,,,,,,,,,1660,Moral,2025-03-04_17h31.15.868,MoralCondition_v2,2022.2.5,29.962394198714776,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3013511999743,84.3013511999743,0.0070547000505030155,0.09904170001391321,3.0,3.9598165000788867,,,,,,,,,,,,1660,Moral,2025-03-04_17h31.15.868,MoralCondition_v2,2022.2.5,29.962394198714776,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.30100749991834,88.30100749991834,0.007598299998790026,0.09787639998830855,3.0,3.124563399935141,,,,,,,,,,,,1660,Moral,2025-03-04_17h31.15.868,MoralCondition_v2,2022.2.5,29.962394198714776,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.46784669999033,91.46784669999033,0.007324800011701882,0.09890590002760291,4.0,2.7593088999856263,,,,,,,,,,,,1660,Moral,2025-03-04_17h31.15.868,MoralCondition_v2,2022.2.5,29.962394198714776,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.26794639998116,94.26794639998116,0.007975100073963404,0.0987593000754714,3.0,3.925187799963169,,,,,,,,,,,,1660,Moral,2025-03-04_17h31.15.868,MoralCondition_v2,2022.2.5,29.962394198714776,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.23434450000059,98.23434450000059,0.0019708999898284674,0.09741290006786585,4.0,7.9299177000066265,,,,,,1660,Moral,2025-03-04_17h31.15.868,MoralCondition_v2,2022.2.5,29.962394198714776,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,106.20144259999506,0.00015950005035847425,0.09917419997509569,112.21785619994625,6.015837299986742,112.38429929991253,112.38429929991253,0.08013870008289814,0.18223220005165786,6.0158865000121295,118.48442369990516,118.48442369990516,118.48442369990516,0.07669870008248836,0.1824624000582844,124.18454279995058,124.38457100000232,6.015862200059928,6.115821800078265,130.3845708000008,12.015862000058405,130.48466640000697,130.48466640000697,130.51787549990695,130.51787549990695,0.016106200055219233,0.1155873000388965,up,0.7893234000075608,131.36787999991793,5.5699958465993404e-05,0.09763370000291616,137.36784919991624,137.36784919991624,137.36784919991624,0.006697800010442734,0.09755039995070547,5.0,6.492038300028071,,,,,,,118.38457859994378,118.38457859994378,,,,1660,Moral,2025-03-04_17h31.15.868,MoralCondition_v2,2022.2.5,29.962394198714776,
