loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,p_port_3.started,textbox.stopped,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,16.44927981896326,0.0005495999939739704,0.1175657999701798,16.86559859989211,17.149016489833592,17.582406899891794,0.005107699893414974,0.13460039999336004,15.001295699737966,32.615783100016415,32.68242060020566,32.68242060020566,0.001364399679005146,0.1345436000265181,space,5.3628082000650465,,,,,,,,,,,,,,,,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
0,0,0,0,,,,,,,,,,,,,,,,,38.09907480003312,0.001610499806702137,0.1318312999792397,44.13240520004183,6.031885599717498,44.265806700102985,0.060098799876868725,0.1985586998052895,6.031826499849558,50.299275199882686,50.33225500024855,0.03470899956300855,0.16518639959394932,1.0,2.564684399869293,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
1,0,1,0,,,,,,,,,,,,,,,,,52.93265559989959,0.0005700001493096352,0.13035529991611838,58.96574589982629,6.030184000264853,59.08239299990237,0.05418970016762614,0.1801972002722323,6.013440700247884,65.11572210025042,65.14902570005506,0.016379599925130606,0.14680359978228807,0.0,1.831284699961543,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
2,0,2,0,,,,,,,,,,,,,,,,,67.0159853999503,0.0004433002322912216,0.1312218001112342,73.03238940006122,6.014499200042337,73.14909330010414,0.029722100123763084,0.16461249999701977,6.031184200197458,79.18234540009871,79.24890290014446,0.03407549997791648,0.16446870006620884,0.0,9.29806930013001,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
3,0,3,0,,,,,,,,,,,,,,,,,88.58245050022379,0.0004802001640200615,0.1322353002615273,94.59898510016501,6.0155043001286685,94.73222499992698,0.053759099915623665,0.18212909996509552,6.015457400120795,100.76562129985541,100.79890409996733,0.018254799768328667,0.1486983997747302,1.0,1.83133149985224,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
4,0,4,0,,,,,,,,,,,,,,,,,102.66568390000612,0.0008120997808873653,0.12982180016115308,108.69892740016803,6.029842399992049,108.81561519997194,0.049180399626493454,0.18039659969508648,6.013131799641997,114.84894319996238,114.88213230017573,0.016134899575263262,0.14644639985635877,2.0,2.7979521001689136,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
5,0,5,0,,,,,,,,,,,,,,,,,117.71580639993772,0.0005076001398265362,0.13080819975584745,123.74892259994522,6.0307021997869015,123.86552789993584,0.0479419999755919,0.18073039967566729,6.01404060004279,129.8988854000345,129.93218180024996,0.01690599974244833,0.14739179983735085,0.0,0.9646855001337826,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
6,0,6,0,,,,,,,,,,,,,,,,,130.93239500001073,0.0005615996196866035,0.1303321998566389,136.94887460023165,6.013625199906528,137.06554780015722,0.03541729971766472,0.1635933998040855,6.030228399671614,143.09892470017076,143.16547519993037,0.03308329964056611,0.1635633995756507,0.0,1.3979941001161933,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
7,0,7,0,,,,,,,,,,,,,,,,,144.5989073999226,0.0008121002465486526,0.11363949999213219,150.6153747998178,6.030370800290257,150.71541000017896,0.02055440004914999,0.1469411002472043,6.013639099895954,156.74896189989522,156.8154005999677,0.014608100056648254,0.14689760003238916,1.0,1.099973399657756,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
8,0,8,0,,,,,,,,,,,,,,,,,157.94908360019326,0.00043869996443390846,0.13130939984694123,163.98209499986842,6.031308199744672,164.11542990012094,0.06120439991354942,0.1979421996511519,6.031548199709505,170.14878940023482,170.1819822001271,0.03422389971092343,0.16453339951112866,2.0,1.8646114999428391,5914,Visual,2024-11-13_18h39.23.101,Visual_Condition_v2,2022.2.5,59.948839675440794,
