loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,Game_Start_Text.started,key_resp.started,key_resp.keys,key_resp.rt,baseline.started,sync_beep_1.started,sync_beep_2.started,sync_beep_3.started,sync_beep_4.started,fixation_cross.started,player_image_intro.started,player_name_intro.started,player_image_offer.started,player_name_offer.started,proposed_split.started,proposed_split.stopped,accept_reject.started,accept_reject.stopped,offer_choice.started,arrow_instructions.started,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,Emotion_Image.started,AffinityScore.started,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,fixation_cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,64.54133503101184,65.02754576000734,space,19.685853289003717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
0,0,0,0,0,0,0,0,,,,,84.76015818401356,88.77534139666047,89.35032508967949,89.94374975466441,90.54209078065857,121.16635769998538,127.29682979700738,127.29682979700738,133.15903822000837,133.15903822000837,133.15903822000837,138.8537728159863,139.12520703399787,145.13274453900522,145.14122560300166,145.2436639769876,up,1.6048607459815685,146.7855243459926,152.84949193400098,152.84949193400098,3.0,7.161626926012104,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,159.99344021698926,159.99344021698926,3.0,0.366221329983091,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,160.37141562599572,160.37141562599572,3.0,0.44801044699852355,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,160.84463831500034,160.84463831500034,3.0,0.48179923702264205,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,161.3527886059892,161.3527886059892,3.0,3.043499987019459,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,164.41687255501165,164.41687255501165,3.0,1.128213282005163,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,165.56744457001332,165.56744457001332,3.0,0.9684735829941928,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.59929131000536,166.59929131000536,5.0,4.531318308989285,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
1,0,1,0,0,0,0,0,,,,,,,,,,171.10467403000803,177.1898570320045,177.1898570320045,183.12368520899327,183.12368520899327,183.12368520899327,188.8356047559937,189.10632712798542,,195.11555467100698,195.19234628300183,down,2.32491731501068,197.46263443501084,203.48968519701157,203.48968519701157,2.0,2.603937451989623,,,,,177.1898570320045,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,206.11564837399055,206.11564837399055,2.0,0.5073674090090208,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,206.64700588400592,206.64700588400592,2.0,0.45061450998764485,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,207.1207324390125,207.1207324390125,2.0,0.4315393000142649,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,207.56953927699942,207.56953927699942,2.0,0.45299858899670653,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,208.04267984899343,208.04267984899343,2.0,0.5184248419827782,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,208.58260618298664,208.58260618298664,2.0,1.0283878560003359,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.63674070700654,209.63674070700654,2.0,15.671111421979731,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
2,0,2,0,0,0,0,0,,,,,,,,,,225.3253768089926,231.40890616801335,231.40890616801335,237.33388734501204,237.33388734501204,237.33388734501204,243.03504877199885,243.3166102200048,249.32530262001092,249.33387291399413,249.4269738449948,up,3.7521633559954353,253.11489890501252,259.12152948300354,259.12152948300354,2.0,1.3961777730146423,,,,,231.40890616801335,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,260.54064078000374,260.54064078000374,2.0,0.26964525401126593,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,260.8311858290108,260.8311858290108,2.0,0.25032882901723497,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,261.102977313014,261.102977313014,2.0,0.22436238202499226,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,261.3523090349918,261.3523090349918,2.0,0.22432796898647211,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,261.60098670600564,261.60098670600564,2.0,0.2481284270179458,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,261.87279103600304,261.87279103600304,2.0,0.22711065399926156,,,,,,001,001,2023-08-07_14h53.38.024,MoralCondition,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.11750362301245,262.11750362301245,,,,,,,,,,
