loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,18.320254640188068,0.0005540000274777412,0.11867209989577532,18.734502299688756,19.001094579696655,19.434462999925017,0.004263599868863821,0.10176200000569224,34.43445329973474,15.001765700057149,34.534561299718916,34.534561299718916,0.0018872995860874653,0.1017083995975554,space,5.957881200127304,,,,,,,,,,,,,,,,,,8755,Visual,2025-02-19_13h11.24.681,Visual_Condition_v2,2022.2.5,29.97181451431989,
0,0,0,0,,,,,,,,,,,,,,,,,40.55121969990432,0.0016708998009562492,0.09854729985818267,46.55111899971962,6.031880799680948,46.71781829977408,0.06348109990358353,0.16545129986479878,6.031869999598712,52.71774180000648,52.78448709985241,0.03449149942025542,0.13193599972873926,1.0,3.465067599900067,,,8755,Visual,2025-02-19_13h11.24.681,Visual_Condition_v2,2022.2.5,29.97181451431989,
1,0,1,0,,,,,,,,,,,,,,,,,56.28482249984518,0.0005997000262141228,0.09722090000286698,62.26758039975539,6.0136743998155,62.41761439992115,0.030900499783456326,0.13061369955539703,6.030691399704665,68.41772769996896,68.51766059966758,0.033241599798202515,0.1304246997460723,2.0,3.9648727998137474,,,8755,Visual,2025-02-19_13h11.24.681,Visual_Condition_v2,2022.2.5,29.97181451431989,
2,0,2,0,,,,,,,,,,,,,,,,,72.51793679967523,0.00043080002069473267,0.09795650001615286,78.53450509998947,6.01468739984557,78.66772109968588,0.04797689989209175,0.14818139979615808,6.014636099804193,84.66770870005712,84.73432140005752,0.01779549987986684,0.11454989993944764,3.0,5.331402299925685,,,8755,Visual,2025-02-19_13h11.24.681,Visual_Condition_v2,2022.2.5,29.97181451431989,
3,0,3,0,,,,,,,,,,,,,,,,,90.10105710010976,0.0006388002075254917,0.09678100002929568,96.10103349993005,6.030339700169861,96.25077919987962,0.05601949989795685,0.14691000012680888,6.013677500188351,102.25104339979589,102.31765459990129,0.01628579990938306,0.11356859980151057,2.0,3.031917800195515,,,8755,Visual,2025-02-19_13h11.24.681,Visual_Condition_v2,2022.2.5,29.97181451431989,
4,0,4,0,,,,,,,,,,,,,,,,,105.38429379975423,0.0007405998185276985,0.09667499968782067,111.36749430000782,6.013143999967724,111.50083839986473,0.014805799815803766,0.11331489961594343,6.013539199717343,117.50124689983204,117.60092579992488,0.01604099990800023,0.11317849950864911,2.0,2.5316852000541985,6.0965764997527,,8755,Visual,2025-02-19_13h11.24.681,Visual_Condition_v2,2022.2.5,29.97181451431989,
5,0,5,0,,,,,,,,,,,,,,,,,120.16819119965658,0.00042789988219738007,0.09738209983333945,126.18427679967135,6.014192000031471,126.30078279972076,0.03538959985598922,0.13088109996169806,6.030864200089127,132.30107040004805,132.4007796999067,0.03376659983769059,0.13072169991210103,3.0,2.6981465998105705,,,8755,Visual,2025-02-19_13h11.24.681,Visual_Condition_v2,2022.2.5,29.97181451431989,
6,0,6,0,,,,,,,,,,,,,,,,,135.13435579976067,0.0005307001993060112,0.09756920021027327,141.1508857998997,6.01440820004791,141.26770900003612,0.03076509991660714,0.1311468998901546,6.030985500197858,147.26751299994066,147.35073549998924,0.01704549975693226,0.11424489971250296,1.0,2.865063300356269,,,8755,Visual,2025-02-19_13h11.24.681,Visual_Condition_v2,2022.2.5,29.97181451431989,
7,0,7,0,,,,,,,,,,,,,,,,,150.25090049998835,0.0005274997092783451,0.09732940001413226,156.2341303001158,6.013979899697006,156.50112430006266,0.10458739986643195,0.2474518995732069,6.0140433995984495,,162.46736150002107,0.01636339956894517,0.11387689970433712,0.0,2.565299500245601,,,8755,Visual,2025-02-19_13h11.24.681,Visual_Condition_v2,2022.2.5,29.97181451431989,
8,0,8,0,,,,,,,,,,,,,,,,,165.06771029997617,0.0005366001278162003,0.09747819975018501,171.08412679983303,6.0141873001120985,171.20112349977717,0.03076169965788722,0.1309475996531546,6.030700099654496,177.20082139968872,177.30067689996213,0.033483199775218964,0.1305872998200357,2.0,2.364744999911636,,,8755,Visual,2025-02-19_13h11.24.681,Visual_Condition_v2,2022.2.5,29.97181451431989,
