loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,17.68373604967492,0.0005994000239297748,0.1005345000885427,18.115447200019844,18.399080650031102,18.815595499938354,18.815595499938354,0.00583780009765178,0.1009551000315696,33.83208459999878,15.017347300075926,33.93218679993879,33.93218679993879,0.01747300010174513,0.11734730005264282,space,6.014311400009319,,,,,,,,,,,,,,,,,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
0,0,0,0,,,,,,,,,,,,,,,,,,39.98216689995024,0.001397100044414401,0.09813830000348389,45.982133400044404,6.031428100075573,46.13257649994921,0.04442140005994588,0.14822279999498278,6.014662900008261,52.13208989996929,52.198852699948475,0.017931700102053583,0.1148049000184983,1.0,8.364675299962983,,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
1,0,1,0,,,,,,,,,,,,,,,,,,60.59900349995587,0.00022769998759031296,0.09916820004582405,66.59873269998934,5.999216999975033,66.71556519996375,0.012969200033694506,0.11595810006838292,6.015702000004239,72.71537280001212,72.81521020003129,0.018410000018775463,0.11565990000963211,0.0,5.43156799999997,6.09910160000436,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
2,0,2,0,,,,,,,,,,,,,,,,,,78.28231909999158,0.0005387000273913145,0.09740119997877628,84.29870509996545,6.013999600079842,84.41540459997486,0.029966400004923344,0.13085100008174777,6.030694000073709,90.41547639993951,90.49856259999797,0.016922100097872317,0.11379660002421588,1.0,2.6977907000109553,,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
3,0,3,0,,,,,,,,,,,,,,,,,,93.23205109999981,0.0007622000994160771,0.09652870008721948,99.23196929995902,6.01295680005569,99.33183339994866,0.00802770012523979,0.09625360008794814,6.029882300063036,105.33220710000023,105.46518479997758,0.0323631000937894,0.12976890010759234,0.0,1.7649147999472916,6.096219000057317,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
4,0,4,0,,,,,,,,,,,,,,,,,,107.26533269998617,0.0005901999538764358,0.09716800006572157,113.26549409993459,6.030602499959059,113.41524629993364,0.045771699980832636,0.14701180008705705,6.01362910005264,119.41533889994025,119.4819245999679,0.016808600048534572,0.11362290009856224,2.0,1.897815000033006,,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
5,0,5,0,,,,,,,,,,,,,,,,,,121.41557800001465,0.0002231999533250928,0.0991605999879539,127.41549579997081,5.999193600029685,127.53208549995907,0.011739099980331957,0.1159420000622049,6.015781000023708,133.53196169994771,133.63182140002027,0.01854509999975562,0.11569000000599772,2.0,9.1981990999775,6.099150100024417,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
6,0,6,0,,,,,,,,,,,,,,,,,,142.86561790003907,0.00022019993048161268,0.09931329998653382,148.86520609993022,5.999166299938224,148.99849619995803,0.02891079999972135,0.13245889998506755,5.999173999996856,154.9985351000214,155.0650908999378,0.00324330001603812,0.09901809995062649,1.0,1.8967884999001399,,6.099108899943531,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
7,0,7,0,,,,,,,,,,,,,,,,,,156.99892199994065,0.000520800007507205,0.09742840006947517,162.9985514000291,6.030726800090633,163.1484585000435,0.04399450006894767,0.14766840008087456,6.01398670009803,169.14842310000677,169.21509459998924,0.016789200133644044,0.1140818001003936,1.0,3.831403800053522,,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
8,0,8,0,,,,,,,,,,,,,,,,,,173.08220810000785,0.0005555000388994813,0.09725920006167144,179.0984714999795,6.01388580002822,179.21501159993932,0.027951400028541684,0.13045290007721633,6.030482200090773,185.2153139000293,185.31502089998685,0.03189220011699945,0.13054280006326735,1.0,2.166314300033264,,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
9,0,9,0,,,,,,,,,,,,,,,,,,187.5152236999711,0.0005403999239206314,0.09685859992168844,193.51522479997948,6.030429199920036,193.66508690000046,0.04262710001785308,0.1469220999861136,6.013519200030714,199.6650731000118,199.73182079999242,0.016126299975439906,0.11344380001537502,0.0,1.3318308999296278,,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
10,0,10,0,,,,,,,,,,,,,,,,,,201.09839249996003,0.0004865999799221754,0.09721160004846752,207.0984103999799,6.030418800073676,207.2317372999387,0.036553499987348914,0.13039050006773323,6.030410400009714,213.23172759998124,213.33170229999814,0.03306650009471923,0.13028460007626563,2.0,1.4985215000342578,,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
11,0,11,0,,,,,,,,,,,,,,,,,,214.86514160002116,0.000367900007404387,0.09809509990736842,220.86509320000187,6.014746599947102,221.33184819994494,0.2110489000333473,0.4648887999355793,6.010956599959172,,227.0982169000199,0.034184499992989004,0.13121490005869418,0.0,1.564745399984531,6.098149599973112,6.097961299936287,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
12,0,12,0,,,,,,,,,,,,,,,,,,228.6987885000417,0.0007004999788478017,0.09608160005882382,234.69842999998946,6.029458899982274,234.84827299998142,0.0428497000830248,0.14597210008651018,6.012617800035514,240.8483419000404,240.91498050000519,0.01539110008161515,0.1127341000828892,2.0,1.6983273000223562,,,1660,Visual,2025-03-04_17h53.00.076,Visual_Condition_v2,2022.2.5,30.047165030299062,
