loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,disgust_image.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,16.839841480046744,0.0005763000226579607,0.11792019999120384,17.254627500020433,17.53802797998651,17.954768099996727,17.954768099996727,0.017901700048241764,0.11783070000819862,32.971398999972735,15.001124100002926,33.07142409996595,33.07142409996595,0.0011526000453159213,0.10107900004368275,space,6.204234600008931,,,,,,,,,,,,,,,,,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
0,0,0,0,,,,,,,,,,,,,,,,,,39.338043999974616,0.001699599961284548,0.09834079997381195,45.33805399999255,6.031678600003943,45.58800509996945,0.14078890002565458,0.24830789997940883,6.014858799986541,51.55451019998873,0.017262900015339255,0.11480920005124062,2.0,3.598526199988555,,,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
1,0,1,0,,,,,,,,,,,,,,,,,,55.18823909998173,0.0007196000078693032,0.09684710000874475,61.187911899993196,6.009646100050304,61.32133080001222,0.02593430003616959,0.13006510003469884,6.030082300072536,67.40452709997771,0.015624500054400414,0.11335430009057745,2.0,2.3320099000120535,6.0966714000096545,67.32132859999547,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
2,0,2,0,,,,,,,,,,,,,,,,,,69.77154950000113,0.0003782000276260078,0.0981560000218451,75.78812109999126,6.014713000040501,76.05474330001744,0.1445971000357531,0.28151760005857795,6.014861400064547,81.98788139998214,0.017790700076147914,0.11454750009579584,0.0,2.681154099991545,,,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
3,0,3,0,,,,,,,,,,,,,,,,,,84.704978499969,0.00022789998911321163,0.0990684000425972,90.70466739998665,5.999141700041946,90.83794699999271,0.025755500013474375,0.13249010004801676,5.9990290000569075,96.90448969998397,0.0022847000509500504,0.0990319000557065,4.0,3.0312938000424765,6.0989389000460505,96.83793829998467,6.099007900047582,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
4,0,4,0,,,,,,,,,,,,,,,,,,99.97145800001454,0.0004597000079229474,0.09709709999151528,105.98791349999374,6.0137809999869205,106.10452290001558,0.02765699999872595,0.13044959999388084,6.0307601999957114,112.18776289996458,0.016049100027885288,0.11374130001058802,3.0,2.6652220000396483,,112.10484529996756,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
5,0,5,0,,,,,,,,,,,,,,,,,,114.88829989999067,0.0003910000086762011,0.09789630002342165,120.87103829998523,6.014355199993588,121.02107419999084,0.03362900001229718,0.13138890004483983,6.031087500043213,127.1212512999773,0.03366810007719323,0.13118830003077164,2.0,2.6317394000361674,6.0977732000174,127.02115679997951,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
6,0,6,0,,,,,,,,,,,,,,,,,,129.78819120000117,0.0002361999941058457,0.09928760002367198,135.77098119998118,5.999105299997609,135.92111240001395,0.029352800047490746,0.1325211000512354,5.999228900007438,141.98771949997172,0.0028040000470355153,0.09911210008431226,1.0,3.6639756999793462,6.082483100006357,141.92114579997724,6.099164100014605,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
7,0,7,0,,,,,,,,,,,,,,,,,,145.68820279999636,0.0005139999557286501,0.09725980000803247,151.70441730000312,6.014025899989065,151.82105069997488,0.03037739999126643,0.13059620000422,6.030505399976391,157.90429929998936,0.015236600011121482,0.1138502000248991,0.0,1.7663222000119276,,157.8210583999753,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
8,0,8,0,,,,,,,,,,,,,,,,,,159.7045638000127,0.00025810004444792867,0.09880770003655925,165.704568199988,5.9990206000511535,165.8376874999958,0.03237420006189495,0.1323359000380151,6.03218940005172,171.92098100000294,0.017789200064726174,0.11541250004665926,2.0,2.8654710999689996,,171.82085670001106,,4186,Visual,2024-07-22_15h32.21.325,Visual_Condition_v2,2022.2.5,29.962591705435134,
