loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,disgust_image.stopped,p_port_7.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,,,,,,,,435.1287549000699,0.0005803999956697226,0.0969312998931855,441.1454314000439,6.013558099977672,441.2620103000663,0.027261699782684445,0.13024029973894358,6.030181299895048,447.3452741999645,0.015514899743720889,0.11339129973202944,4.0,1.2660298999398947,447.26210030005313,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
28,0,28,0,,,,,,,,,,,,,,,,,448.6454419000074,0.00022460008040070534,0.0990941000636667,454.6620378000662,6.015785700175911,454.7790571001824,0.03379820007830858,0.13242410006932914,5.999123299960047,460.84534680005163,0.0024806999135762453,0.0990591999143362,1.0,2.2976263999007642,460.7786881001666,,6.0991247000638396,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
29,0,29,0,,,,,,,,,,,,,,,,,463.1790035001468,0.0002194000408053398,0.09926050016656518,469.16187750012614,6.015438599977642,469.42852750001475,0.03138609998859465,0.248638000106439,5.999006500001997,475.4119814001024,0.034888199996203184,0.1324396999552846,0.0,1.265115600079298,,6.098998200148344,6.098905100021511,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
30,0,30,0,,,,,,,,,,,,,,,,,476.71273760008626,0.00023719994351267815,0.09903939999639988,482.7119442000985,5.9990194998681545,482.8286076001823,0.01326429983600974,0.1158369998447597,5.999004599871114,488.91202000016347,0.002578699728474021,0.09911419963464141,4.0,1.3974691000767052,488.8452688001562,6.09897069982253,6.0992612997069955,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
31,0,31,0,,,,,,,,,,,,,,,,,490.3453534001019,0.0007317999843508005,0.09666189993731678,496.3452328001149,6.029967199778184,496.4950359000359,0.05130719975568354,0.14660469978116453,6.013249699724838,502.56171190016903,0.014405599795281887,0.11309749959036708,0.0,1.6002268001902848,502.495199700119,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
32,0,32,0,,,,,,,,,,,,,,,,,504.1952859000303,0.0004602000117301941,0.09749700012616813,510.17848410014994,6.014183900086209,510.3284826001618,0.034222899936139584,0.13085349998436868,6.03081399993971,516.4284022001084,0.034490999998524785,0.13082249998115003,4.0,1.9306952999904752,516.328611999983,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
33,0,33,0,,,,,,,,,,,,,,,,,518.3953492001165,0.0005272000562399626,0.09699019999243319,524.411867900053,6.013583899941295,524.5284915000666,0.027140399906784296,0.13029760005883873,6.03022630000487,530.6283754000906,0.033112999983131886,0.13026129989884794,2.0,1.3982822999823838,530.5285078999586,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
34,0,34,0,,,,,,,,,,,,,,,,,532.0621142000891,0.00022829999215900898,0.09908819990232587,538.078385300003,6.015649399952963,538.1954489001073,0.03721929993480444,0.13256439985707402,5.999040499795228,544.261674700072,0.0024162998888641596,0.09892729972489178,4.0,0.9642568998970091,544.195119400043,,6.098965999903157,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
35,0,35,0,,,,,,,,,,,,,,,,,545.2617679000832,0.0006724998820573092,0.09700499987229705,551.2784598001745,6.013558699982241,551.3953319001012,0.026608399813994765,0.1302857999689877,6.030186299933121,557.4950306001119,0.0329709998331964,0.13013679976575077,4.0,0.8648304999805987,557.395074600121,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
36,0,36,0,,,,,,,,,,,,,,,,,558.3954825999681,0.0005171999800950289,0.0974481999874115,564.4116124000866,6.014037699904293,564.5115366000682,0.025403999956324697,0.11415169993415475,6.013976800022647,570.6115914999973,0.016870899824425578,0.11384719982743263,3.0,0.9981377001386136,570.5117127001286,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
37,0,37,0,,,,,,,,,,,,,,,,,571.6453859000467,0.00022799987345933914,0.09896469977684319,577.6617203999776,6.015850699972361,577.778500400018,0.03520199982449412,0.13223009975627065,6.032323899678886,583.8782083000988,0.03381049958989024,0.13222399959340692,3.0,0.7993948000948876,583.7782968000975,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
38,0,38,0,,,,,,,,,,,,,,,,,584.7121127999853,0.0005501999985426664,0.09731770004145801,590.7282968000509,6.013732499908656,590.845239300048,0.03003459982573986,0.13041069987230003,6.030433699954301,596.9282152999658,0.014758299803361297,0.11373709980398417,2.0,1.799782000016421,596.8449260001071,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
39,0,39,0,,,,,,,,,,,,,,,,,598.7619692001026,0.0002419000957161188,0.0991333001293242,604.7782203999814,6.015904100146145,604.8948209001683,0.026679900009185076,0.13237780006602407,5.9990550999064,610.9614595000166,0.0020007998682558537,0.09910069988109171,1.0,1.898467699997127,610.8948775001336,,6.099061300046742,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
40,0,40,0,,,,,,,,,,,,,,,,,612.8948669000529,0.000708600040525198,0.09773489995859563,618.8948939000256,6.031062999973074,619.0449439999647,0.04332879977300763,0.14797299983911216,6.014271699823439,625.1114640999585,0.016958799678832293,0.11431749979965389,0.0,1.3314708999823779,625.0448833000846,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
41,0,41,0,,,,,,,,,,,,,,,,,626.4781798999757,0.0005576999392360449,0.0974984997883439,632.4781604001764,6.03076979983598,632.6280261999927,0.04599189991131425,0.14739349973388016,6.014042199822143,638.6946990001015,0.016957299783825874,0.11395099968649447,0.0,1.2647956998553127,638.6282909000292,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
42,0,42,0,,,,,,,,,,,,,,,,,639.9951112000272,0.0005042999982833862,0.09745609993115067,645.9947671999689,6.030543100088835,646.1446096000727,0.045923199970275164,0.14716089982539415,6.013849299866706,652.211423800094,0.016812199726700783,0.11379899992607534,3.0,2.0646198999602348,652.1447430001572,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
43,0,43,0,,,,,,,,,,,,,,,,,654.3115449000616,0.0004648000467568636,0.0972965001128614,660.2945302999578,6.013611900154501,660.4244650001638,0.01083329995162785,0.11006539990194142,6.01378110004589,666.5279680001549,0.01611199975013733,0.11397839989513159,0.0,1.4320261999964714,666.4280344001018,6.0968625000678,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
44,0,44,0,,,,,,,,,,,,,,,,,667.9948940000031,0.00040859985165297985,0.09809189988300204,674.0113774000201,6.014625899959356,674.1277839001268,0.032226399751380086,0.1312753998208791,6.031217199750245,680.2278921999969,0.034010599832981825,0.13116899970918894,3.0,1.498458999907598,680.1279866001569,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
45,0,45,0,,,,,,,,,,,,,,,,,681.7616781000979,0.00046900007873773575,0.09724489995278418,687.7446787999943,6.013981099938974,687.8945108000189,0.03088400000706315,0.1306026999372989,6.030526399845257,693.9779276000336,0.015407499857246876,0.11404869984835386,0.0,1.1993966000154614,693.8946085001808,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
46,0,46,0,,,,,,,,,,,,,,,,,695.2116014000494,0.00022019981406629086,0.09930139989592135,701.2112454001326,6.032354099908844,701.3445219001733,0.0441039998549968,0.13236279971897602,5.999002699740231,707.4111166000366,0.0021295996848493814,0.09884249977767467,3.0,0.8977735999505967,707.3445890001021,,6.098976399749517,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
47,0,47,0,,,,,,,,,,,,,,,,,708.3449615000281,0.000632300041615963,0.09743690001778305,714.344577500131,6.030826500151306,714.4944796999916,0.044968799920752645,0.14740219991654158,6.014027599943802,720.5610663001426,0.01674650004133582,0.11410949984565377,3.0,1.0981999998912215,720.4945160001516,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
48,0,48,0,,,,,,,,,,,,,,,,,721.6948353000917,0.00022069993428885937,0.09902610001154244,727.7111388000194,6.01563260005787,727.827768499963,0.032618500059470534,0.13230949989520013,6.032080499920994,733.911033899989,0.01804679981432855,0.11567749991081655,3.0,0.7317739001009613,733.8110173000023,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
49,0,49,0,,,,,,,,,,,,,,,,,734.6781206000596,0.0005169000942260027,0.09777860017493367,740.6944846999831,6.01432320009917,740.8110851000529,0.03184389998205006,0.1307445999700576,6.031007800018415,746.8945563000161,0.01682779984548688,0.11411960003897548,2.0,1.4651532999705523,746.8110639001243,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
50,0,50,0,,,,,,,,,,,,,,,,,748.3946625001263,0.00022200006060302258,0.11600870010443032,754.4111707000993,6.015961500117555,754.5277438999619,0.035104200011119246,0.13267709990032017,5.999092699959874,760.5942961999681,0.0020637998823076487,0.09906399995088577,4.0,1.4645944000221789,760.5277064000256,,6.09906979999505,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
51,0,51,0,,,,,,,,,,,,,,,,,762.0946190999821,0.0005508000031113625,0.09739869995974004,768.0943670000415,6.0306770000606775,768.2275398001075,0.03832759987562895,0.13044849992729723,6.030652799876407,774.3276804999914,0.03307069977745414,0.13059699977748096,0.0,1.3984054999891669,774.2277876001317,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
52,0,52,0,,,,,,,,,,,,,,,,,775.7610120000318,0.00039529986679553986,0.09772209986113012,781.777818800183,6.0143877998925745,781.8943290000316,0.035967899952083826,0.13096719980239868,6.0310312998481095,787.9941952000372,0.033645699732005596,0.1308430996723473,0.0,1.2649249001406133,787.894501300063,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
53,0,53,0,,,,,,,,,,,,,,,,,789.2947031999938,0.00021950015798211098,0.0992620000615716,795.2942602001131,5.9990551001392305,795.4109495000448,0.018312899861484766,0.11568289995193481,6.015800399938598,801.5108285001479,0.018249199958518147,0.11575379990972579,2.0,1.5316994998138398,801.4110036001075,6.0990422000177205,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
54,0,54,0,,,,,,,,,,,,,,,,,803.0779935000464,0.0006377999670803547,0.09741669986397028,809.0775580999907,6.030568799935281,809.2107720000204,0.029138799756765366,0.13051309972070158,6.030545999761671,815.3109093001112,0.03317129984498024,0.1305090996902436,0.0,1.464822700014338,815.2109012999572,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
55,0,55,0,,,,,,,,,,,,,,,,,816.811190500157,0.0005940999835729599,0.09735259995795786,822.8275284001138,6.014013800071552,822.9609122001566,0.04183020000346005,0.1477150998543948,6.013977200025693,829.027377899969,0.01680849981494248,0.11385069973766804,1.0,1.1650193000677973,828.9608191000298,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
56,0,56,0,,,,,,,,,,,,,,,,,830.2278829000425,0.00022749998606741428,0.0993715999647975,836.2274535000324,6.032307799905539,836.3774247001857,0.0526486998423934,0.14908209978602827,6.015688799787313,842.4439680001233,0.01835219981148839,0.11549779982306063,2.0,1.0982524000573903,842.377452300163,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
57,0,57,0,,,,,,,,,,,,,,,,,843.5778857001569,0.00044350000098347664,0.09754069987684488,849.5774252000265,6.030827899929136,849.7272697000299,0.0523803997784853,0.14746869984082878,6.014055699808523,855.7941004000604,0.016780699836090207,0.11391659989021719,0.0,1.8648570000659674,855.7273767001461,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
58,0,58,0,,,,,,,,,,,,,,,,,857.6943229001481,0.0007390000391751528,0.09728330001235008,863.6940554999746,6.030512199969962,863.8439595000818,0.049087399849668145,0.1470846999436617,6.013714299770072,869.9106869001407,0.01641969964839518,0.11370459967292845,3.0,1.4982388999778777,869.8440581001341,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
59,0,59,0,,,,,,,,,,,,,,,,,871.4442722001113,0.00043260003440082073,0.0978206000290811,877.444025099976,6.03103130008094,877.5940566000063,0.051404599798843265,0.14766499982215464,6.014482899801806,883.6605142999906,0.016927799675613642,0.11416429979726672,4.0,1.431891500018537,883.5940146001521,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
60,0,60,0,,,,,,,,,,,,,,,,,885.1275798000861,0.0002506000455468893,0.09894339996390045,891.1272658000235,6.032311300048605,891.2772284999955,0.050714099779725075,0.1489397999830544,6.015474999789149,897.3439641001169,0.018193299882113934,0.11543929972685874,4.0,1.0983499998692423,897.2773621999659,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
61,0,61,0,,,,,,,,,,,,,,,,,898.4773864999879,0.0003847000189125538,0.09798219986259937,904.4773754000198,6.031479099998251,905.0107940000016,0.2672177997883409,0.531417999882251,6.027636299841106,910.6901553000789,0.01816689968109131,0.1311765997670591,3.0,1.8473421998787671,,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
62,0,62,0,,,,,,,,,,,,,,,,,912.5775900001172,0.0006913000252097845,0.09737069997936487,918.5939381001517,6.013864699983969,918.7104933001101,0.027433799812570214,0.13088819989934564,6.0306772999465466,924.8104759999551,0.03325089975260198,0.13055619969964027,4.0,1.1650109998881817,924.7105223000981,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
63,0,63,0,,,,,,,,,,,,,,,,,926.0106122000143,0.0007866998203098774,0.09697679989039898,932.0272085999604,6.013630599947646,932.2441438001115,0.08485679980367422,0.23046619980596006,6.0302229998633265,938.2439113999717,0.03297129971906543,0.13029089965857565,0.0,1.6315796000417322,,,,669,Visual,2024-02-20_12h15.58.812,Visual_Condition_v2,2022.2.5,29.96241214331243,
