loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,p_port_7.stopped,disgust_image.started,p_port_8.started,p_port_8.stopped,disgust_image.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,19.08210068079643,0.00055720005184412,0.12717510014772415,19.781155659933574,20.197757800109684,20.197757800109684,0.011333599919453263,0.11048969998955727,35.19770239992067,15.010453199967742,35.29776190011762,35.29776190011762,0.010536299785599113,0.11044799978844821,space,7.832759900018573,,,,,,,,,,,,,,,,,,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
0,0,0,0,,,,,,,,,,,,,,,,,43.18108549993485,0.0015227999538183212,0.0984720999840647,49.16426800005138,6.015028699999675,6.098281699931249,49.29770600004122,0.01741470000706613,0.1150960000231862,55.297996500041336,6.015130499843508,55.39750520000234,0.017894999822601676,0.11493389983661473,2.0,3.731514999875799,,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
1,0,1,0,,,,,,,,,,,,,,,,,59.16442260006443,0.0006254001054912806,0.09762419993057847,65.18099889997393,6.01423369999975,,65.29763910011388,0.02972969994880259,0.13092039991170168,71.28091010008939,6.03088209987618,71.39755690004677,0.01910359994508326,0.13094459986314178,2.0,1.5793052001390606,,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
2,0,2,0,,,,,,,,,,,,,,,,,72.99785139993764,0.000520800007507205,0.09708969993516803,79.01458270009607,6.01400709990412,,79.13133310014382,0.029306699987500906,0.13073390000499785,85.1310990001075,6.0304592999164015,85.23103279992938,0.03238889970816672,0.13038639980368316,0.0,1.665654300013557,,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
3,0,3,0,,,,,,,,,,,,,,,,,86.93125390005298,0.00024339999072253704,0.09907049988396466,92.93095730012283,5.999064499977976,6.0989821997936815,93.0642371000722,0.03504089987836778,0.13230569986626506,99.06429750006646,6.032343599712476,99.16416830010712,0.034918599762022495,0.13219519960694015,3.0,1.1985778000671417,,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
4,0,4,0,,,,,,,,,,,,,,,,,100.39797749998979,0.00024259998463094234,0.09927419992163777,106.39765259996057,5.9992630998604,6.099150999914855,106.53086729999632,0.03147929976694286,0.1325929998420179,112.51416689995676,5.999214999843389,112.59749690000899,0.0020080998074263334,0.09917999967001379,3.0,1.5980729998555034,6.099189999746159,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
5,0,5,0,,,,,,,,,,,,,,,,,114.23114900011569,0.00022099982015788555,0.09921059990301728,120.24757490004413,6.01566749997437,,120.41412919992581,0.08100599981844425,0.18238329980522394,126.41419030004181,6.015694299712777,126.44741529994644,0.01773579977452755,0.11564359976910055,1.0,2.232199699850753,,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
6,0,6,0,,,,,,,,,,,,,,,,,128.7145841999445,0.00023870007134974003,0.09923480008728802,134.71419660001993,5.999059800058603,6.0989934001117945,134.83078910014592,0.015736399916931987,0.11566410004161298,140.81400880008005,6.01565369986929,140.91407890012488,0.0007787998765707016,0.09897199994884431,3.0,1.232449300121516,6.098802699940279,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
7,0,7,0,,,,,,,,,,,,,,,,,142.18111609993502,0.00024649989791214466,0.09905710001476109,148.19753900007345,6.015717899892479,,148.31410920014605,0.031401199754327536,0.132336099864915,154.31425920012407,6.0322680997196585,154.3974335999228,0.017861399799585342,0.11557149980217218,3.0,1.031952999997884,,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
8,0,8,0,,,,,,,,,,,,,,,,,155.46430110000074,0.0006025999318808317,0.09700289997272193,161.4641760000959,6.0303539000451565,,161.61411470011808,0.04713399987667799,0.14719759998843074,167.61407310003415,6.013590399874374,167.68065609992482,0.01628239988349378,0.1135803998913616,2.0,1.098885799990967,,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
9,0,9,0,,,,,,,,,,,,,,,,,168.81437560007907,0.00022029993124306202,0.09887750004418194,174.8308079999406,6.015497599961236,,174.9473862000741,0.03474739985540509,0.13216429995372891,180.9474103001412,6.03220979985781,181.04730670014396,0.033859299728646874,0.13208129978738725,2.0,1.232708799885586,,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
10,0,10,0,,,,,,,,,,,,,,,,,182.3147732000798,0.0006675999611616135,0.0972534001339227,188.33075540000573,6.013934700051323,,188.44726860010996,0.030800699954852462,0.13101589982397854,194.44755110004917,6.030606799991801,194.53059739992023,0.015825399896129966,0.11386729986406863,0.0,1.4991812999360263,,6569,Visual,2024-08-10_10h25.22.431,Visual_Condition_v2,2022.2.5,30.012202963803567,
