loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_8.stopped,p_port_10.stopped,p_port_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,13.038047349499537,0.000897199846804142,0.11571889976039529,13.352852900046855,13.619744249666109,13.919601599685848,14.219853149773552,14.51958779990673,14.819494549697264,15.15286079980433,0.00128099974244833,0.0993286999873817,30.152927899733186,14.99947899999097,15.09912330005318,30.252937299665064,-0.00033930037170648575,0.099274099804461,30.719578499905765,space,4.166835500393063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.50264379987493,152.50264379987493,0.007304599974304438,0.09928029961884022,5.0,5.42623330000788,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.96979819983244,157.96979819983244,0.0073401001282036304,0.09828389994800091,5.0,5.058578799944371,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.06930390000343,163.06930390000343,0.0074616000056266785,0.0984013001434505,1.0,3.65887810010463,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.7692595999688,166.7692595999688,0.0076199001632630825,0.09848539996892214,6.0,3.3914593998342752,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.20263229962438,170.20263229962438,0.006804300006479025,0.09908229997381568,7.0,4.160350400023162,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.40261229965836,174.40261229965836,0.006400600075721741,0.09905839990824461,6.0,4.493847200181335,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.93595519987866,178.93595519987866,0.0006852997466921806,0.0991648999042809,6.0,6.066239699721336,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,185.03628979995847,0.00044419988989830017,0.09750139992684126,191.03596600005403,6.030913900118321,191.25238239997998,191.25238239997998,0.10917990002781153,0.21402759989723563,6.014166099950671,197.31931719975546,197.31931719975546,197.31931719975546,0.07405269984155893,0.18075979966670275,203.01924369996414,203.2194025996141,6.014350999612361,6.114383899606764,209.21942609967664,12.014409999828786,209.35272089997306,209.35272089997306,0.01472009951248765,0.11432629963383079,up,1.8853696007281542,211.28601849963889,3.7999823689460754e-05,0.09798040008172393,217.31925749965012,217.31925749965012,0.026219800114631653,0.1312027000822127,3.0,3.372767799999565,,,,,,,209.31948439963162,209.31948439963162,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.71919839968905,220.71919839968905,0.006822400260716677,0.09905820013955235,6.0,6.493283300194889,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.25259769987315,227.25259769987315,0.0076095000840723515,0.09777989983558655,2.0,5.2578863999806345,,,,,,,,,,,,,,,2777,Moral,2025-02-13_13h17.40.857,MoralCondition_v2,2022.2.5,29.98311949386534,
