loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_intro.stopped,player_name_intro.stopped,Instructions_Affinity_Score.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,34.13653450198472,0.0008327998220920563,0.1278651999309659,34.73564970018342,35.352455200068654,35.66913119982928,35.95239649983123,36.28571459976956,36.28571459976956,0.0137491999194026,0.1278776996769011,51.26894890004769,15.027772299479693,51.36903200019151,0.011226899456232786,0.11119739944115281,51.83574629994109,space,2.2058537998236716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.63584320014343,188.63584320014343,0.007789100054651499,0.09818580001592636,2.0,3.424618400167674,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.10244080005214,192.10244080005214,0.007056099828332663,0.09897619998082519,5.0,2.02644390007481,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.16901930002496,194.16901930002496,0.006874099839478731,0.09896710002794862,5.0,4.393141400068998,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.6022521997802,198.6022521997802,0.00781779969111085,0.09763749968260527,6.0,3.4244542000815272,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.0690699000843,202.0690699000843,0.007516299840062857,0.09789450000971556,4.0,2.5578739000484347,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.66919009992853,204.66919009992853,0.007598400115966797,0.09758909977972507,2.0,1.2578050000593066,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.96905810013413,205.96905810013413,0.0015528998337686062,0.09750019991770387,6.0,7.130496299825609,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,213.13592489995062,0.00014850031584501266,0.09913570014759898,219.13593570003286,5.999434099998325,219.36923959990963,219.36923959990963,0.10843429993838072,0.23272059997543693,5.9991361000575125,225.43574539991096,225.43574539991096,225.43574539991096,0.09734079986810684,0.19904199987649918,231.135915200226,231.30239999992773,5.999058299697936,6.099104600027204,237.30247499980032,11.999156899750233,237.43581729987636,237.43581729987636,237.43581729987636,237.43581729987636,0.000183899886906147,0.09914289973676205,up,0.7660579001531005,238.2357608000748,4.810001701116562e-05,0.09757160022854805,244.268979200162,244.268979200162,0.027723300270736217,0.13068620022386312,1.0,3.471083799842745,,,,,,,,,,6.0990173001773655,6.099079899955541,12.099148000124842,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.78610529983416,247.78610529983416,0.007794499862939119,0.11449800012633204,5.0,1.8411514000035822,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.66909499978647,249.66909499978647,0.008842799812555313,0.11448440002277493,5.0,8.473443099763244,,,,,,,,,,,,,5914,Moral,2024-11-13_17h27.28.357,MoralCondition_v2,2022.2.5,29.97944308941604,
