Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,p_port_5.started,cross.stopped,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,Begin_Rinse.stopped,break_text.started,p_port_15.started,p_port_15.stopped,p_port_16.started,break_text.stopped,p_port_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,18.88207899965346,0.0005266000516712666,0.09338100021705031,19.380846989993007,19.63094769977033,19.880928389914335,20.16419789986685,0.011822900269180536,0.1102037001401186,35.180950599722564,15.026702099945396,35.28108089976013,0.02943990007042885,0.12679710006341338,6.010221400298178,41.29767549969256,41.36428469978273,41.36428469978273,0.010218400042504072,0.11001210007816553,space,8.99677100032568,50.414298499934375,50.414298499934375,4.510022699832916e-05,0.095703000202775,num_9,5.003037700429559,55.480989389773455,0.002481000032275915,0.0977207999676466,55.78087879996747,56.26427008975297,56.58093939954415,57.06416778983548,57.364190499763936,57.464261199813336,65.46423489972949,65.46423489972949,65.46431938996538,0.014438099693506956,0.11439409991726279,66.48094769986346,67.46427959995344,67.64752989960834,68.14757529972121,10.014459999743849,75.59759069979191,0.017280899919569492,75.59759069979191,0.11439769947901368,3.0,6.81478330027312,82.44776839995757,0.0017264997586607933,0.09850069973617792,88.46420949976891,88.63092508977279,6.215386599767953,6.315138400066644,108.6475139895454,108.64767599990591,26.231950299814343,26.331973900087178,109.66408019978553,111.64766959985718,111.64766959985718,0.0007900996133685112,0.09841819992288947,141.6641470999457,30.015051499940455,,,,,,,,674,Gustatory,2024-04-03_11h54.58.752,Gustatory_Condition_v2,2022.2.5,29.998959031687527,
0,0,0,0,1,0,1,0,,,,,,,,,,,,141.76408639969304,0.01532619958743453,0.1151607995852828,6.015008099842817,147.76428079977632,147.86416749982163,147.86416749982163,0.014962099492549896,0.11502869939431548,space,3.1852318001911044,151.11427489994094,151.11427489994094,4.829978570342064e-05,0.09799969987943769,num_9,3.878979000262916,155.03081308975817,0.002013599965721369,0.09801239985972643,155.33075989969075,155.81401018956677,156.13082209974527,156.61415288988502,156.93074379954487,157.01403749966994,165.03092289995402,165.03092289995402,165.03077888973058,0.0012113000266253948,0.0979352998547256,166.03054939955473,167.03077759966254,167.21410669991747,167.71411409974098,10.014616400003433,175.14728909963742,0.01760879997164011,175.14728909963742,0.11448349989950657,5.0,3.864734999835491,179.04742279974744,0.0031934003345668316,0.09734550025314093,185.0474282996729,185.2474098896608,6.2307828003540635,6.330683800391853,205.2306229897775,205.23072589980438,26.214013500139117,26.31394450040534,206.24729410000145,208.2307465998456,208.2307465998456,0.014182200189679861,0.11396719980984926,238.23065879987553,30.01392999989912,186.26408039964736,,,,,,,674,Gustatory,2024-04-03_11h54.58.752,Gustatory_Condition_v2,2022.2.5,29.998959031687527,
0,0,0,0,2,0,2,0,,,,,,,,,,,,238.36387729970738,0.014703500084578991,0.11388889979571104,6.030570900067687,244.38077479973435,244.48066539969295,244.48066539969295,0.030795499682426453,0.13054959988221526,space,3.200493300333619,247.73056219983846,247.73056219983846,4.349974915385246e-05,0.09772759955376387,num_9,2.0140067003667355,249.79736848985777,0.0021822997368872166,0.09803219977766275,250.11396819958463,250.58053228976206,250.88053689990193,251.38048068964855,,251.78066259995103,259.79735809983686,259.79735809983686,259.79728648969905,0.0015972000546753407,0.11472290009260178,260.81412769993767,261.8139385995455,261.96389919985086,262.46396819967777,10.031331799924374,269.930413399823,0.034272899851202965,269.930413399823,0.13117359997704625,4.0,2.864763000048697,272.83093839976937,0.001653200015425682,0.09929679986089468,278.83041529962793,279.01383448969574,6.215758099686354,6.315759999677539,299.01375368954615,299.01390109956264,26.215739799663424,26.31572029972449,300.0304509997368,302.01381999999285,302.01381999999285,0.01562009984627366,0.09918509982526302,332.0138116995804,30.01568549964577,280.0305269998498,,,,,,,674,Gustatory,2024-04-03_11h54.58.752,Gustatory_Condition_v2,2022.2.5,29.998959031687527,
0,0,0,0,3,0,3,0,,,,,,,,,,,,332.1471985997632,0.01636449946090579,0.11560509959235787,6.032253499608487,338.16380260000005,338.2638040999882,338.2638040999882,0.0323895993642509,0.1322606992907822,space,3.8650292004458606,342.16374349966645,342.16374349966645,3.7800054997205734e-05,0.09802640043199062,num_9,1.5735098007135093,343.79711888981984,0.0022455998696386814,0.09820239990949631,344.1137641998939,344.5805268899538,344.8802393996157,345.3803832896054,345.680349199567,345.76357899978757,353.78038159990683,353.78038159990683,353.7805638897233,0.014812099747359753,0.11461640009656549,354.78018439980224,355.76355699962005,355.9805648997426,356.4970016996376,10.014692000113428,363.9135037995875,0.0165843996219337,363.9135037995875,0.11463599978014827,5.0,4.765705399680883,368.7139744996093,0.0015822998248040676,0.09930930007249117,374.71370869968086,374.91367558967323,6.23253809986636,6.332360699772835,394.91359668988736,394.9135984997265,26.23224540008232,26.331935199908912,395.93006659997627,397.9137480999343,397.9137480999343,0.0015095998533070087,0.0987374996766448,427.9135156995617,30.03213889990002,375.9136657998897,,,,,,,674,Gustatory,2024-04-03_11h54.58.752,Gustatory_Condition_v2,2022.2.5,29.998959031687527,
0,0,0,0,4,0,4,0,,,,,,,,,,,,428.0301541998051,0.016119799576699734,0.11540879961103201,6.015315399505198,434.03013929957524,434.1301190997474,434.1301190997474,0.01530129974707961,0.11533119948580861,space,1.8873042003251612,436.0634584999643,436.0634584999643,3.950018435716629e-05,0.09805650031194091,num_9,2.1776426006108522,438.2801635895856,0.0018873000517487526,0.09780240012332797,438.5967919998802,439.0633892898448,439.36339409975335,439.86338338973,440.1967976996675,440.2634546998888,448.26339169964194,448.26339169964194,448.2632267896086,0.014565400313585997,0.13143670000135899,449.28002499975264,450.28004329977557,450.48032049974427,450.98006929969415,10.031046700198203,458.3966981996782,0.016070100013166666,458.3966981996782,0.11459279991686344,2.0,2.6994731999002397,461.13029069965705,0.0025025000795722008,0.09779789997264743,467.14665359957144,467.31332598971204,6.214445900171995,6.314458699896932,487.3300070899539,487.32994939992204,26.231099599972367,26.331114999949932,,490.3299177996814,490.3299177996814,7.539987564086914e-05,0.09770829975605011,520.3298056996427,30.030955799855292,468.31332819955423,,,,,,,674,Gustatory,2024-04-03_11h54.58.752,Gustatory_Condition_v2,2022.2.5,29.998959031687527,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.4633016996086,0.03120659990236163,0.1311515998095274,30.01425869995728,550.4796943999827,,674,Gustatory,2024-04-03_11h54.58.752,Gustatory_Condition_v2,2022.2.5,29.998959031687527,
1,0,1,0,0,0,0,0,,,,,,,,,,,,550.5463832998648,0.016136299818754196,0.1141955996863544,6.0307980994693935,556.5630402998067,556.6630509998649,556.6630509998649,0.030903299804776907,0.13080759951844811,space,2.1618146002292633,558.8798054996878,558.8798054996878,5.579972639679909e-05,0.09776220005005598,num_9,2.4173419000580907,561.3463594896718,0.0020163999870419502,0.09805480018258095,561.6630085995421,562.129549989663,562.4296722998843,562.9297146896831,,563.3296887995675,571.329621899873,571.329621899873,571.3297754895873,0.014703700318932533,0.11462280014529824,,573.3296188996173,573.5296341995709,574.0296468995512,10.014567200094461,581.4628593996167,0.017641799990087748,581.4628593996167,0.11459989985451102,2.0,2.8981289002113044,584.3965445999056,0.0017136000096797943,0.09923890000209212,590.4128845999949,590.5795663899742,6.215774599928409,6.315779899712652,610.5961421897634,610.5961352996528,26.199026899877936,26.299037399701774,611.6130848997273,613.5960119999945,613.5960119999945,-9.670015424489975e-05,0.0990186994895339,643.6126724998467,30.015731199644506,,,,,,,,674,Gustatory,2024-04-03_11h54.58.752,Gustatory_Condition_v2,2022.2.5,29.998959031687527,
,,,,,,,,,,,,,,,,,,,643.7127093998715,0.016425099689513445,0.11542759975418448,5.999061899725348,649.7293592998758,649.7962167998776,649.7962167998776,-0.000247100368142128,0.09888579929247499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.098903299309313,,,,,,,
