loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,p_port_7.stopped,disgust_image.stopped,p_port_9.stopped,participant,session,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,,,,,,,,314.849236600101,0.0003904001787304878,0.09903879975900054,320.849006799981,6.032281400170177,320.9823567001149,0.028800100088119507,0.13221109984442592,5.999047900084406,327.04889740003273,0.0022470997646450996,0.09910729993134737,0.0,1.497700999956578,,326.98361150035635,6.098952400032431,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
20,0,20,0,,,,,,,,,,,,,,,,,328.5825922000222,0.00022329995408654213,0.09917679987847805,334.5822088001296,5.999255199916661,334.7489285999909,0.07619299972429872,0.16580659989267588,5.999074199702591,340.78222080040723,0.0023963996209204197,0.09918069979175925,0.0,1.4976406996138394,6.099058099556714,340.7489834004082,6.0992187997326255,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
21,0,21,0,,,,,,,,,,,,,,,,,342.31562230037525,0.00041380012407898903,0.09764700010418892,348.3323242003098,6.014518199954182,348.44895540038124,0.030999899841845036,0.1309167998842895,6.030908899847418,354.54881480010226,0.03369989991188049,0.13093170011416078,2.0,1.1314950999803841,,354.4489321000874,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
22,0,22,0,,,,,,,,,,,,,,,,,355.7158459001221,0.0006339000537991524,0.09731240011751652,361.71556879999116,6.0305346003733575,361.8654088000767,0.05344479996711016,0.1474867002107203,6.013792400248349,367.93207440013066,0.016677699983119965,0.11377449985593557,1.0,1.8313190001063049,,367.8656683000736,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
23,0,23,0,,,,,,,,,,,,,,,,,369.79901510011405,0.0006234999746084213,0.09685899969190359,375.7988750003278,6.030207899864763,375.9321957002394,0.03345709992572665,0.13035669969394803,6.030139199923724,382.0320698004216,0.03283949987962842,0.13020339980721474,0.0,1.5648938002996147,,381.93221460003406,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
24,0,24,0,,,,,,,,,,,,,,,,,383.6326435999945,0.0002542003057897091,0.09921680018305779,389.64878250006586,6.0157733000814915,389.815393100027,0.08404510002583265,0.18239820003509521,6.01573590002954,395.8487286004238,0.018373900093138218,0.11571280006319284,4.0,2.364977899938822,,395.8154513002373,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
25,0,25,0,,,,,,,,,,,,,,,,,398.2487983000465,0.000542499590665102,0.09685549978166819,404.248746199999,6.030230099800974,404.3987317001447,0.053137699607759714,0.1468393998220563,6.013507299590856,410.46526250010356,0.016413199715316296,0.11344049964100122,0.0,1.7317241998389363,,410.39874109998345,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
26,0,26,0,,,,,,,,,,,,,,,,,412.2322262004018,0.0006584003567695618,0.0975160002708435,418.2319985004142,6.03066680021584,418.3987234001979,0.06114230025559664,0.1640017000027001,6.030795800033957,424.4487899001688,0.016553400084376335,0.11406259983778,3.0,2.331758299842477,,424.3986448002979,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
27,0,27,0,,,,,,,,,,,,,,,,,426.81559850042686,0.0005115000531077385,0.09725430002436042,432.8153122002259,6.030463499948382,432.94850330008194,0.032599300146102905,0.13042719988152385,6.030419200193137,439.0318966000341,0.016244399826973677,0.11382839968428016,0.0,1.6654122001491487,,438.93181190034375,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
28,0,28,0,,,,,,,,,,,,,,,,,440.73202630039304,0.00041719991713762283,0.09749950002878904,446.731893400196,6.030708399601281,446.88185490015894,0.04586259974166751,0.1472546998411417,6.013949099928141,452.94846980040893,0.01667999941855669,0.11401419946923852,0.0,2.1652501998469234,,452.8819388002157,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
29,0,29,0,,,,,,,,,,,,,,,,,455.14870520029217,0.0004960000514984131,0.09739550016820431,461.165185500402,6.013915100134909,461.28189990017563,0.028625099919736385,0.13062250008806586,6.030518400017172,467.36510650021955,0.01622339989989996,0.11411349987611175,1.0,1.2321011000312865,,467.2649495000951,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
30,0,30,0,,,,,,,,,,,,,,,,,468.63192080007866,0.00044430000707507133,0.09795380011200905,474.6317855999805,6.031279299873859,474.7819266002625,0.04615380009636283,0.14795299991965294,6.014512199908495,480.84834560006857,0.015075499657541513,0.11485909996554255,2.0,2.000175700057298,,480.76490830024704,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
31,0,31,0,,,,,,,,,,,,,,,,,482.8816041001119,0.00014289980754256248,0.09924070024862885,488.89848890015855,6.016187800094485,489.01499270042405,0.029462500009685755,0.1328970999456942,5.9994353000074625,495.0816013002768,0.002651900053024292,0.09931549988687038,1.0,6.431072199717164,,495.0151257002726,6.099421299993992,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
32,0,32,0,,,,,,,,,,,,,,,,,501.5486408001743,0.00048370007425546646,0.09733929997310042,507.5315479002893,6.013429299928248,507.6649456000887,0.010834499727934599,0.11353580001741648,6.013513799756765,513.7649287004024,0.01677029998973012,0.11338509991765022,4.0,3.530912199988961,6.096869200002402,513.6651277001947,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
33,0,33,0,,,,,,,,,,,,,,,,,517.3317470001057,0.0009179003536701202,0.09710520040243864,523.3316807001829,6.030661400407553,523.5148039003834,0.07675130013376474,0.1803578003309667,6.013876900076866,529.5482463003136,0.01509170001372695,0.1138348001986742,0.0,2.5329599999822676,,529.5149813001044,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
34,0,34,0,,,,,,,,,,,,,,,,,532.115069700405,0.0005087000317871571,0.0974595001898706,538.1148903002031,6.03072000015527,538.381727900356,0.11392460018396378,0.2640940002165735,6.030749599914998,544.3482189001516,0.03309520008042455,0.13061709981411695,1.0,1.365294899791479,,,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
35,0,35,0,,,,,,,,,,,,,,,,,545.7480451003648,0.000515500083565712,0.09744360018521547,551.7483286000788,6.030864600092173,551.8813855000772,0.02958550024777651,0.13067410001531243,6.030684300232679,557.981417500414,0.0334140001796186,0.13136859983205795,4.0,1.69809959968552,,557.8815291002393,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
36,0,36,0,,,,,,,,,,,,,,,,,559.7152286004275,0.000642899889498949,0.09683680022135377,565.7314551002346,6.013359500095248,565.8481394001283,0.03002539975568652,0.12998599978163838,6.0300103998743,571.9481479004025,0.0324343997053802,0.1302636000327766,3.0,2.4333832999691367,,571.8480854001828,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
37,0,37,0,,,,,,,,,,,,,,,,,574.4151396001689,0.0004476001486182213,0.09734839992597699,580.4147252002731,6.0307426997460425,580.5649906001054,0.05881309974938631,0.14732939982786775,6.013922899961472,586.6313914000057,0.01647759974002838,0.11386979976668954,1.0,1.9983591996133327,,586.5647137002088,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
38,0,38,0,,,,,,,,,,,,,,,,,588.6648866999894,0.00038450025022029877,0.0976537000387907,594.6646604002453,6.030950100161135,594.8145839003846,0.04803160019218922,0.14763040002435446,6.014249800238758,600.8813915001228,0.017066500149667263,0.11429979978129268,0.0,1.564639000222087,,600.8146951003,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
39,0,39,0,,,,,,,,,,,,,,,,,602.4815987003967,0.0005482998676598072,0.09713649982586503,608.4979547001421,6.01379630016163,608.6311263004318,0.04702159995213151,0.14722209982573986,6.013916399795562,614.6978312004358,0.01651669992133975,0.1136066997423768,0.0,1.4984146999195218,,614.631325500086,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
40,0,40,0,,,,,,,,,,,,,,,,,616.2313275001943,0.0006293002516031265,0.09737550001591444,622.2479244000278,6.013857600279152,622.3645165003836,0.027401200029999018,0.13052579993382096,6.030510399956256,628.4478664002381,0.01569340005517006,0.11380499973893166,0.0,1.2656724997796118,,628.3644576002844,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
41,0,41,0,,,,,,,,,,,,,,,,,629.7482286002487,0.0004926002584397793,0.09721010038629174,635.7646207003854,6.01403330033645,635.897757100407,0.055802199989557266,0.14712510025128722,6.01387199992314,641.9644206003286,0.016849199775606394,0.11363330017775297,4.0,1.6978764003142715,,641.8978641000576,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
42,0,42,0,,,,,,,,,,,,,,,,,643.6982184001245,0.0004960000514984131,0.09734410000964999,649.714476000052,6.013943899888545,649.8311434001662,0.03089480008929968,0.13076339988037944,6.030799000058323,655.914598800242,0.016245899721980095,0.11389439972117543,3.0,1.6322180000133812,,655.8311081002466,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
43,0,43,0,,,,,,,,,,,,,,,,,657.5811154004186,0.0007872995920479298,0.09715509973466396,663.5810468001291,6.0304029998369515,663.7309934999794,0.04369579954072833,0.14703539991751313,6.013736499939114,669.7976234001108,0.0158203998580575,0.11357249971479177,3.0,2.0988574996590614,,669.7310310001485,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
44,0,44,0,,,,,,,,,,,,,,,,,671.9314128002152,0.0005020000971853733,0.09719350002706051,677.9476867001504,6.013823799788952,678.064278700389,0.027134899981319904,0.13036569999530911,6.030424099881202,684.1643074001186,0.03292819997295737,0.13022279972210526,2.0,1.531809899955988,,684.0643885000609,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
45,0,45,0,,,,,,,,,,,,,,,,,685.7312110001221,0.0002385997213423252,0.09924509981647134,691.7311375001445,5.999318500049412,691.8474968001246,0.021197499707341194,0.11582929966971278,6.015776099637151,697.9475063001737,0.01782709965482354,0.11564499977976084,3.0,1.998851700220257,6.09920629998669,697.8476245002821,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
46,0,46,0,,,,,,,,,,,,,,,,,699.9811532003805,0.0006932998076081276,0.09711389988660812,705.9642657004297,6.013658399693668,706.0974642001092,0.009718399494886398,0.11362609965726733,6.013629499822855,712.1974633000791,0.016178999561816454,0.11370969982817769,0.0,1.164911000058055,6.096853099763393,712.0976444003172,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
47,0,47,0,,,,,,,,,,,,,,,,,713.3977948003449,0.0006058001890778542,0.09736410016193986,719.4141956004314,6.013954100199044,719.5307801002637,0.040690300054848194,0.1306110001169145,6.030593500006944,725.6306859999895,0.033040700014680624,0.13053299998864532,3.0,1.331956900190562,,725.5308616003022,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
48,0,48,0,,,,,,,,,,,,,,,,,726.9978684000671,0.00040140002965927124,0.0981739996932447,732.9975093002431,6.031413899734616,733.1473554000258,0.058188799768686295,0.14801759971305728,6.014653799589723,739.2139461999759,0.01670069945976138,0.11442149942740798,0.0,0.8656111997552216,,739.1474336003885,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
49,0,49,0,,,,,,,,,,,,,,,,,740.1143194003962,0.00041370000690221786,0.09769829967990518,746.1140911001712,6.031027099583298,746.2640432002954,0.04735989961773157,0.1478338995948434,6.014279399532825,752.3307111002505,0.017323399428278208,0.11434579966589808,1.0,1.297980499919504,,752.2640750003047,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
50,0,50,0,,,,,,,,,,,,,,,,,753.6642959001474,0.0004937001504004002,0.09757719980552793,759.6640334003605,6.030758999753743,759.7974662003107,0.03445999976247549,0.13079899968579412,6.03068060008809,765.8972850004211,0.03338429983705282,0.13052979996427894,2.0,0.9319253996945918,,765.7973588001914,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
51,0,51,0,,,,,,,,,,,,,,,,,766.8642347999848,0.0006748000159859657,0.09713539993390441,772.864002100192,6.030576199758798,772.9972676001489,0.02854649955406785,0.1305033997632563,6.030527399852872,779.0972013003193,0.033220299519598484,0.1304429997690022,0.0,1.6649261000566185,,778.9973025000654,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
52,0,52,0,,,,,,,,,,,,,,,,,780.7975401002914,0.0002226000651717186,0.09914629999548197,786.7975638001226,5.999206999782473,786.8970839004032,0.010383999906480312,0.09898849995806813,5.999031399842352,792.9971669004299,0.0021869996562600136,0.09896469954401255,0.0,1.2311626998707652,6.099033599719405,792.8973241001368,6.099038399755955,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
53,0,53,0,,,,,,,,,,,,,,,,,794.264253700152,0.00022030016407370567,0.0993443001061678,800.2639043000527,5.999237700365484,800.380514500197,0.01580040017142892,0.11609739996492863,6.015874200034887,806.4804812003858,0.018724100198596716,0.11592799983918667,0.0,1.3650108999572694,6.099241100251675,806.3804867002182,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
54,0,54,0,,,,,,,,,,,,,,,,,807.8807545001619,0.0004658997058868408,0.09710879996418953,813.8636655001901,6.0136143998242915,813.9971022000536,0.010710999835282564,0.11382739990949631,6.0138710997998714,820.0970607004128,0.01626399951055646,0.11369649972766638,4.0,1.3650962999090552,6.097036899998784,819.997189400252,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
55,0,55,0,,,,,,,,,,,,,,,,,821.4973407001235,0.0006009000353515148,0.09739190014079213,827.4971151002683,6.030745500233024,827.6639121002518,0.05535720009356737,0.1643113000318408,6.030647600069642,833.7303516999818,0.033357900101691484,0.1307970997877419,2.0,1.1983226002193987,,833.663722500205,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
56,0,56,0,,,,,,,,,,,,,,,,,834.9637573002838,0.0004591001197695732,0.09723030030727386,840.980583100114,6.013910400215536,841.0971099003218,0.02782980026677251,0.13052350003272295,6.03053310001269,847.1970037003048,0.033355699852108955,0.13051930023357272,4.0,1.098157700151205,,847.0969943003729,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
57,0,57,0,,,,,,,,,,,,,,,,,848.3305967003107,0.00024290010333061218,0.09916420001536608,854.3471098002046,6.015861200168729,854.4636462000199,0.03214710019528866,0.13250930001959205,5.999103200156242,860.5302350004204,0.0029934998601675034,0.09924589982256293,4.0,2.297154300380498,,860.4636048004031,6.099177199881524,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
58,0,58,0,,,,,,,,,,,,,,,,,862.86390700005,0.0005777999758720398,0.0974404001608491,868.8802712000906,6.013986000325531,868.9800476003438,0.020820599980652332,0.11395270004868507,6.013896800111979,875.0801036003977,0.01658520009368658,0.11374399997293949,2.0,0.9319692999124527,,874.9802421000786,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
59,0,59,0,,,,,,,,,,,,,,,,,876.0470874002203,0.0003994000144302845,0.09755700035020709,882.0470006000251,6.030985100194812,882.5470037003979,0.25043610017746687,0.4975972999818623,6.0308590000495315,888.2430720003322,0.012691900134086609,0.09719050023704767,0.0,1.0857927999459207,,,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
60,0,60,0,,,,,,,,,,,,,,,,,889.3805913003162,0.0006260997615754604,0.09796039992943406,895.397077600006,6.01466490002349,895.5133418003097,0.033606699667871,0.1313481996767223,6.031115899793804,901.5967681002803,0.01755169965326786,0.11435759952291846,3.0,2.831364800222218,,901.5135492002591,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
61,0,61,0,,,,,,,,,,,,,,,,,904.4637132002972,0.00023570004850625992,0.09920769976451993,910.4636896001175,5.999226700048894,910.5799498003908,0.013842300046235323,0.11566729983314872,6.015643899794668,916.6800907002762,0.018466999754309654,0.11574129993095994,1.0,1.7646480998955667,6.098901099991053,916.5801073000766,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
62,0,62,0,,,,,,,,,,,,,,,,,918.4803156000562,0.000417300034314394,0.09762859996408224,924.4967431002297,6.014226300176233,925.0634637000039,0.31351529993116856,0.5811067000031471,6.010461899917573,930.6965686003678,0.01711730007082224,0.11396409990265965,0.0,1.3648130996152759,,,,4953,Visual,2024-08-21_12h25.18.358,Visual_Condition_v2,2022.2.5,29.948916145701478,
