loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,textbox.started,p_port_2.started,p_port_2.stopped,textbox.stopped,p_port_3.started,instructions.started,key_resp.started,p_port_4.started,p_port_4.stopped,key_resp.keys,key_resp.rt,cross.started,p_port_6.started,p_port_6.stopped,cross.stopped,p_port_7.started,disgust_image.started,p_port_8.started,p_port_8.stopped,p_port_9.started,disgust_image.stopped,disgust_score.started,p_port_10.started,p_port_10.stopped,disgust_score.response,disgust_score.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.835335259999693,0.000737399999934496,0.12254239999992933,12.517001719999962,12.933649399999922,12.933649399999922,0.022263300000076924,0.12246750000008433,27.93374649999987,15.0224111,28.067109599999867,28.067109599999867,0.0225105000001804,0.12231940000015129,space,23.30089890000022,,,,,,,,,,,,,,,,666,Visual,2025-02-24_12h26.36.565,Visual_Condition_v2,2022.2.5,29.943687900546365,
0,0,0,0,,,,,,,,,,,,,,,,,51.433797499999855,0.002035999999861815,0.09851340000000164,57.450420399999985,6.015217499999835,57.58384720000004,0.043226700000104756,0.1488501000001179,6.015254299999924,63.5837477,63.650581800000054,0.018116700000064156,0.11540180000019973,3.0,8.747917200000074,666,Visual,2025-02-24_12h26.36.565,Visual_Condition_v2,2022.2.5,29.943687900546365,
,,,,,,,,,,,,,,,,,,,,72.43395379999993,0.0005444999999326683,0.09699339999997392,78.45050730000003,6.0139400999999,78.56704910000008,0.029806499999949665,0.13030449999996563,,,,,,,,,,,,,,
