loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,21.348159838840363,0.0008668000809848309,0.11701139993965626,21.94504900961183,22.261686199810356,22.54520720974542,22.844862299971282,23.145037709595634,23.461684299632907,23.461684299632907,0.0034533999860286713,0.11755200009793043,43.47850049985573,20.017390599939972,43.578338199760765,0.01734049990773201,0.11719150003045797,44.028324199840426,space,1.1952227004803717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,Moral,2024-03-21_10h34.55.892,MoralCondition_v2,2022.2.5,29.97314403989123,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,45.26168049965054,0.005944899749010801,0.0982979997061193,51.27834829967469,6.0148013997823,51.51148210000247,51.51148210000247,0.10923019982874393,0.2481986996717751,6.014817199669778,57.5784469996579,57.5784469996579,57.5784469996579,0.08133559953421354,0.2148540997877717,63.27849389985204,63.445172999985516,6.015017099678516,6.114828799851239,69.44492190005258,12.014760599471629,69.57817989960313,69.57817989960313,0.015098499599844217,0.11479279957711697,up,1.5398155003786087,71.17842319980264,8.080014958977699e-05,0.10081199975684285,77.19483119994402,77.19483119994402,0.01623959979042411,0.11765989987179637,1.0,2.5192019999958575,,,,,,,,,,,,,,,672,Moral,2024-03-21_10h34.55.892,MoralCondition_v2,2022.2.5,29.97314403989123,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.74491170002148,79.74491170002148,0.009367099963128567,0.0991571000777185,6.0,2.424139800015837,,,,,,,,,,,,,,,672,Moral,2024-03-21_10h34.55.892,MoralCondition_v2,2022.2.5,29.97314403989123,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.22824470000342,82.22824470000342,0.01196199981495738,0.1136484001763165,1.0,1.5039909002371132,,,,,,,,,,,,,,,672,Moral,2024-03-21_10h34.55.892,MoralCondition_v2,2022.2.5,29.97314403989123,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7784577999264,83.7784577999264,0.008905100170522928,0.11477670026943088,1.0,1.0401885001920164,,,,,,,,,,,,,,,672,Moral,2024-03-21_10h34.55.892,MoralCondition_v2,2022.2.5,29.97314403989123,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.86178969964385,84.86178969964385,0.008886799681931734,0.11458999989554286,1.0,0.6068239002488554,,,,,,,,,,,,,,,672,Moral,2024-03-21_10h34.55.892,MoralCondition_v2,2022.2.5,29.97314403989123,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4949955996126,85.4949955996126,0.009559100028127432,0.09827560000121593,1.0,0.8232228998094797,,,,,,,,,,,,,,,672,Moral,2024-03-21_10h34.55.892,MoralCondition_v2,2022.2.5,29.97314403989123,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3787332996726,86.3787332996726,0.009288299828767776,0.11581269977614284,1.0,0.6075071999803185,,,,,,,,,,,,,,,672,Moral,2024-03-21_10h34.55.892,MoralCondition_v2,2022.2.5,29.97314403989123,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.01186640001833,87.01186640001833,0.0006952998228371143,0.09917409997433424,7.0,4.599610600154847,,,,,,,,,672,Moral,2024-03-21_10h34.55.892,MoralCondition_v2,2022.2.5,29.97314403989123,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,91.64521729992703,0.000269399955868721,0.0978023000061512,97.66168159991503,6.0146441999822855,97.87848159996793,97.87848159996793,0.12464709999039769,0.23113009985536337,6.0312180002219975,103.94311519991606,103.94311519991606,103.94311519991606,0.08596679987385869,0.19798239972442389,109.64511559996754,109.84521859977394,6.031477199867368,6.131474900059402,115.84499999973923,12.031192199792713,115.94481020001695,115.94481020001695,0.014228099957108498,0.09779289970174432,up,0.8054875005036592,116.81160879973322,4.369998350739479e-05,0.09794829972088337,122.82840229989961,122.82840229989961,0.009785699658095837,0.1148222996853292,1.0,1.3058826001361012,,,,,,,115.92803039960563,115.92803039960563,122.82840229989961,,,,,,672,Moral,2024-03-21_10h34.55.892,MoralCondition_v2,2022.2.5,29.97314403989123,
