loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,player_image_offer.stopped,player_name_offer.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,Instructions_Affinity_Score.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.48808680000366,143.48808680000366,0.007014500006334856,0.09927030000835657,5.0,3.193060299992794,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.7213630999904,146.7213630999904,0.0066949000174645334,0.09913000001688488,5.0,2.960040600009961,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.7381236999936,149.7381236999936,0.008464200014714152,0.11435980000533164,5.0,1.6402241000032518,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.42167959999642,151.42167959999642,0.007796899997629225,0.11405780000495724,5.0,4.174129599996377,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.62142029998358,155.62142029998358,0.007665399985853583,0.09772140000131913,2.0,5.857845099992119,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.52127080000355,161.52127080000355,0.006974999996600673,0.0978962000226602,5.0,4.691995999979554,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.25495390000287,166.25495390000287,0.0007202000124379992,0.09895030001644045,2.0,4.666103299998213,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,170.95495819998905,0.0002674999996088445,0.0978585000266321,176.9713581999822,6.014500900026178,177.13785629998893,177.13785629998893,0.07718920000479557,0.18108110001776367,6.01465540000936,183.2379981999984,183.2379981999984,183.2379981999984,0.07885970000643283,0.1814285000145901,188.9380093999789,189.13804089999758,6.014507699990645,6.114560899994103,195.13805330000469,12.014529800013406,195.27133419999154,195.27133419999154,0.014726299996254966,0.11439889998291619,up,0.4068501000001561,195.7382437000051,3.3499993151053786e-05,0.09852120000869036,201.7545017999946,201.7545017999946,0.02484629998798482,0.11516690001008101,1.0,5.557854799990309,,,,,,,195.23810590000357,195.23810590000357,183.13803449997795,183.13803449997795,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.3546006999968,207.3546006999968,0.006660300015937537,0.09917349999886937,1.0,1.4601961000007577,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.85454569998547,208.85454569998547,0.009229899995261803,0.09748799999943003,2.0,3.0894896000099834,,,,,,,,,,,,,,,4206,Moral,2025-02-27_12h36.41.983,MoralCondition_v2,2022.2.5,29.999355015067604,
