Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,Roll_liquid_taste.stopped,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_5.stopped,spit_sound.stopped,p_port_18.stopped,p_port_14.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,p_port_16.stopped,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,2,0,2,0,,,,,,,,,,,,1708.984813899966,0.033233199967071414,0.13238470000214875,1715.0013339000288,6.015682500088587,1715.068027799949,1715.068027799949,0.015799399930983782,0.11567429988645017,space,3.056725500151515,1718.1679799000267,1718.1679799000267,2.5900080800056458e-05,0.09825429995544255,num_9,0.756899300031364,1718.9681110799313,0.001992400037124753,0.09812900004908442,1719.2846387999598,1719.7513806799427,1720.051277999999,1720.5512449800037,,1720.9512901999988,1728.967935099965,1728.967935099965,1728.9679948799778,0.0014977001119405031,0.0981098001357168,1730.9846206998918,1731.167946399888,1731.6511083000805,10.014620800036937,1739.0845292999875,0.017325399909168482,1739.0845292999875,0.11474919994361699,2.0,1.664914300199598,1740.7847392999101,0.001138100167736411,0.09926950000226498,1746.7845667998772,1746.9514299799223,6.199291800148785,6.299272800097242,1747.9511216999963,1766.9510575798806,1766.9511076000053,26.19921960006468,26.29918980016373,,1769.951112400042,1769.951112400042,-0.0007513999007642269,0.09918300015851855,1799.9676924999803,30.015835900092497,,1729.9846413000487,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
3,0,3,0,3,0,3,0,,,,,,,,,,,,1800.1010077998508,0.016408600145950913,0.11596229998394847,1806.1009504999965,6.015676100039855,1806.200960899936,1806.200960899936,0.015779099892824888,0.11567829991690814,space,3.1719249999150634,1809.4176606999245,1809.4176606999245,4.0499959141016006e-05,0.09814710007049143,num_9,1.3632903001271188,1810.8176848800388,0.002186700003221631,0.09799869987182319,1811.1342913999688,1811.600905580027,,1812.4010704800487,1812.7008750999812,1812.8009301999118,1820.8008940999862,1820.8008940999862,1820.8008601798676,0.014656999846920371,0.11460629990324378,1822.8175635999069,1823.000878199935,1823.5008719998877,10.014304699841887,1830.9508891999722,0.017461499897763133,1830.9508891999722,0.13101899973116815,5.0,1.847945700166747,1832.8177054000553,0.0026897999923676252,0.09758659987710416,1838.8174695998896,1839.0175592799671,6.230653200065717,6.3308129999786615,1840.0341373998672,1859.017482479848,1859.0174010000192,26.230633900035173,26.330652700038627,1860.034113700036,1862.0173961999826,1862.0173961999826,-0.000408099964261055,0.0972416999284178,1892.017268100055,30.030503799906,,,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
3,0,3,0,4,0,4,0,,,,,,,,,,,,1892.1339694999624,0.014293799875304103,0.1138251000083983,1898.1339368000627,6.013793099904433,1898.2338888999075,1898.2338888999075,0.013782999711111188,0.11388209974393249,space,2.5312782002147287,1900.8172390998807,1900.8172390998807,3.879982978105545e-05,0.09823689982295036,num_9,1.0684900002088398,1901.950730280066,0.0025138999335467815,0.09783619991503656,1902.2505381000228,1902.7338219800033,1903.0338041000068,1903.5339334798512,1903.8338669999503,1903.9338968000375,1911.9504964998923,1911.9504964998923,1911.9505936799571,0.0010643999557942152,0.09780479990877211,1913.9672127999365,1914.1338472999632,1914.617036700016,10.01443209988065,1922.0836890998762,0.03394589992240071,1922.0836890998762,0.13096099998801947,1.0,1.5647980999201536,1923.6841361999977,0.0023042000830173492,0.09819220006465912,1929.6837929000612,1929.86704767989,6.214640900027007,6.314883700106293,1930.883762100013,1949.8670080800541,1949.867053499911,26.214768999954686,26.314730599988252,1950.883731199894,1952.8836642999668,1952.8836642999668,0.00046580005437135696,0.09816140006296337,1982.8835598998703,30.031279700109735,,1912.9504573000595,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983.016895199893,0.03156460006721318,0.13125850004144013,2012.9999577000272,30.014390700031072,30.09773509996012,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
4,0,4,0,0,0,0,0,,,,,,,,,,,,2013.0834143999964,0.00017579994164407253,0.09775289986282587,2019.0834264999721,6.031141699990258,2019.217053500004,2019.217053500004,0.031396899838000536,0.1311074998229742,space,2.7159562001470476,2021.9667791998945,2021.9667791998945,4.5800115913152695e-05,0.0973585001192987,num_9,0.990390500286594,2023.0001778798644,0.002297000028192997,0.09786610002629459,2023.299986399943,2023.783445679862,2024.0834441999905,2024.5833509800025,2024.8999945998657,2024.9833651999943,2032.9833279999439,2032.9833279999439,2032.983444379922,0.014432600000873208,0.1143505999352783,2034.9999832999893,2035.2000080998987,2035.699999100063,10.031034799991176,2043.1165723998565,0.017271499847993255,2043.1165723998565,0.11424309993162751,3.0,1.7646080998238176,2044.9168662000448,0.0026801000349223614,0.09760249988175929,2050.9332913998514,2051.100002979906,6.214256899897009,6.314313899958506,,2071.099872079957,2071.0998060998973,26.21407189988531,26.313881800044328,2072.0996928000823,2074.116526099853,2074.116526099853,0.030964900040999055,0.13082299986854196,2104.1167414998636,30.031113900011405,,2033.9999025000725,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
4,0,4,0,1,0,1,0,,,,,,,,,,,,2104.2331085000187,0.014764999970793724,0.11419019987806678,2110.2330769998953,6.014213099842891,2110.3330699000508,2110.3330699000508,0.014263799879699945,0.11401109979487956,space,3.1997118999715894,2113.58307110006,2113.58307110006,4.300009459257126e-05,0.09805610007606447,num_9,1.182598500046879,2114.816439279867,0.002168100094422698,0.09800580004230142,2115.1329975000117,2115.5998412799554,,2116.3996143800205,,2116.816338500008,2124.816326000029,2124.816326000029,2124.8163920799734,0.0011251999530941248,0.09797829994931817,2126.8329751999117,2126.982803999912,2127.499579000054,10.031299100024626,2134.9327807000373,0.01783799985423684,2134.9327807000373,0.11473919986747205,1.0,1.3310169000178576,2136.2998724998906,0.0036057999823242426,0.09723439998924732,2142.316226999974,2142.4829624798613,6.213838699972257,6.31388059980236,2143.51621120004,2162.4827923798466,2162.4829263000283,26.213964499998838,26.313956399913877,2163.4827282000333,2165.4995738998987,2165.4995738998987,-0.000421999953687191,0.09709669998846948,2195.499157999875,30.013698800001293,,2125.8329735998996,,30.09692719997838,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
4,0,4,0,2,0,2,0,,,,,,,,,,,,2195.5993711000774,0.030380299780517817,0.13029749994166195,2201.582556599984,6.0135799997951835,2201.6993305999786,2201.6993305999786,0.030914699658751488,0.13031099969521165,space,2.7933481000363827,2204.5493480998557,2204.5493480998557,5.059991963207722e-05,0.09810799988918006,num_9,1.0637513000983745,2205.649461479904,0.002540899906307459,0.09781419998034835,2205.9492919999175,2206.449393279897,2206.749192799907,2207.2328401799778,2207.5327117000706,2207.615863099927,2215.615894800052,2215.6491445000283,2215.6493113800416,0.03096969984471798,0.13108689989894629,2217.665856800042,2217.832570299972,2218.3326467999723,10.01436599995941,2225.7657254999503,0.01629139995202422,2225.7657254999503,0.11415819986723363,4.0,1.566140600014478,2227.36592380004,0.0024218999315053225,0.09768330003134906,2233.3825280000456,2233.549209679989,6.214463399956003,6.314232100034133,2234.5491305000614,2253.549077580031,2253.5490907998756,26.21429829997942,26.314494400052354,,2256.5492086999584,2256.5492086999584,0.01445930008776486,0.1143371001817286,2286.5656031998806,30.030807700008154,6.096883399877697,2216.6491826998536,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
4,0,4,0,3,0,3,0,,,,,,,,,,,,2286.6989663999993,0.031627899967134,0.13075020001269877,2292.7155788000673,6.0140825000125915,2292.782250700053,2292.782250700053,0.014244599966332316,0.11422509979456663,space,3.390817800303921,2296.215585099999,2296.215585099999,4.840013571083546e-05,0.09796700021252036,num_9,0.869274300057441,2297.13235557992,0.0022682000417262316,0.09826980018988252,2297.4323706000578,2297.9323327800257,2298.232371999882,2298.732517679967,2299.0322561999783,2299.115573100047,2307.115547100082,2307.115547100082,2307.1156543798743,0.014864800032228231,0.11477850005030632,2309.132175900042,2309.3154940998647,2309.832171499962,10.031404100125656,2317.2488501998596,0.017357999924570322,2317.2488501998596,0.11469909991137683,2.0,1.7315430000890046,2319.0155102999415,0.004088100045919418,0.0970898000523448,2325.0154744999018,2325.215556179918,6.2304462001193315,6.330424800049514,2326.215465999907,2345.19868907989,2345.1987429000437,26.213744200067595,26.313506700098515,2346.215337499976,2348.215357299894,2348.215357299894,-0.00031679985113441944,0.09699700004421175,2378.2152414999437,30.03027580003254,,2308.132232700009,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
4,0,4,0,4,0,4,0,,,,,,,,,,,,2378.3485699999146,0.030993799911811948,0.13025090005248785,2384.365204300033,6.013516099890694,2384.432036299957,2384.432036299957,0.013658299809321761,0.11348119983449578,space,2.669157000258565,2387.165238799993,2387.165238799993,4.200008697807789e-05,0.09723110008053482,num_9,1.0724565000273287,2388.2985923800616,0.0023627998307347298,0.0981368999928236,2388.6151777999476,2389.081932179909,2389.3818270999473,2389.8818698800633,2390.181823400082,2390.298569599865,,2398.3151505000424,2398.31521787988,0.017344199819490314,0.11475429986603558,2400.3151634999085,2400.4817995999474,2400.981813099934,10.031243699835613,2408.431872499874,0.03407189971767366,2408.431872499874,0.13122929981909692,4.0,0.9981092000380158,2409.4653308000416,0.0031886999495327473,0.09777990006841719,2415.4819602998905,2415.6485109800005,6.214298400096595,6.314309800043702,2416.6650980999693,2435.6651058800517,2435.664975099964,26.231060799909756,26.330880699912086,2436.681650100043,,2438.681621900061,0.01592150004580617,0.11473809997551143,2468.6981889999006,30.030760399997234,,2399.315166699933,,,,,,,,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2468.7981831999496,0.031043000053614378,0.13075400004163384,2498.7979488999117,30.01396599994041,,679,Gustatory,2024-09-24_15h34.38.620,Gustatory_Condition_v2,2022.2.5,29.966650115809774,
