Blocks_of_Tastants.thisRepN,Blocks_of_Tastants.thisTrialN,Blocks_of_Tastants.thisN,Blocks_of_Tastants.thisIndex,Each_Tastant_Once.thisRepN,Each_Tastant_Once.thisTrialN,Each_Tastant_Once.thisN,Each_Tastant_Once.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,p_port_3.stopped,cross.started,p_port_4.started,p_port_4.stopped,cross.stopped,p_port_5.started,instructions.started,spacebar_hit.started,p_port_6.started,p_port_6.stopped,spacebar_hit.keys,spacebar_hit.rt,grab_cup.started,key_resp.started,p_port_7.started,p_port_7.stopped,key_resp.keys,key_resp.rt,taste_sound_1.started,p_port_8.started,p_port_8.stopped,taste_sound_1.stopped,taste_sound_2.started,taste_sound_2.stopped,taste_sound_3.started,taste_sound_3.stopped,Roll_liquid_taste.started,spit_text.started,spit_sound.started,p_port_9.started,p_port_9.stopped,spit_sound.stopped,spit_text.stopped,screen_clear.started,screen_clear.stopped,p_port_18.started,p_port_18.stopped,Palatability_Score.started,p_port_17.started,Instruction.started,p_port_17.stopped,Palatability_Score.response,Palatability_Score.rt,Rinse_text.started,p_port_10.started,p_port_10.stopped,Rinse_text.stopped,Begin_Rinse.started,p_port_11.started,p_port_11.stopped,Begin_Rinse.stopped,Finish_rinse.started,Rinse_Spit.started,p_port_12.started,p_port_12.stopped,Finish_rinse.stopped,Rinse_Spit.stopped,rest_text.started,p_port_13.started,p_port_13.stopped,rest_text.stopped,p_port_14.started,p_port_14.stopped,p_port_5.stopped,Roll_liquid_taste.stopped,break_text.started,p_port_15.started,p_port_15.stopped,break_text.stopped,p_port_16.started,participant,session,date,expName,psychopyVersion,frameRate,
3,0,3,0,2,0,2,0,,,,,,,,,,,,,,,1739.1272138999775,0.01497620006557554,0.11401150014717132,1745.1437383999582,6.030845600063913,1745.22707179992,1745.22707179992,0.014146400149911642,0.11397540010511875,space,2.866149600013159,1748.1270538999233,1748.1270538999233,3.809994086623192e-05,0.09777829993981868,num_9,1.4216978999320418,1749.5936577399377,0.0010136000346392393,0.09922209999058396,1749.8936889999313,1750.3602867400157,1750.677094799932,1751.1604211399215,1751.4770869999193,1751.5604737999383,1759.5603527999483,1759.5603577399277,-0.0007829999085515738,0.09909770009107888,1760.5770125999115,1761.5603376999497,1761.7603662000038,1762.2603310999693,9.999141200096346,10.09914820000995,1769.6935883999104,0.0023051000898703933,1769.6935883999104,0.09928830002900213,3.0,3.764501600060612,1773.4939701999538,0.002939400030300021,0.09772100008558482,1779.4935777999926,1779.676824739913,6.214149700012058,6.297589200083166,1780.6935333999572,1799.6768514399998,1799.6768371999497,26.214236100087874,26.31420370005071,1800.693460199982,1802.6768057999434,1802.6768057999434,0.014264600118622184,0.11425210011657327,1832.6933235999895,30.03072440007236,,,1759.5603527999483,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
3,0,3,0,3,0,3,0,,,,,,,,,,,,,,,1832.8266789999325,0.03151100012473762,0.13066720007918775,1838.8266520999605,6.030675200163387,1838.9266638999106,1838.9266638999106,0.030766500160098076,0.13064990018028766,space,1.8867163000395522,1840.8599566000048,1840.8599566000048,3.759993705898523e-05,0.09817219991236925,num_9,1.617160200024955,1842.526876939938,0.002370000001974404,0.09742220002226532,1842.8265765999677,1843.3266896399552,1843.643235299969,1844.1098617399227,1844.4266379999463,1844.5266345000127,1852.5432532000123,1852.543250439933,0.01700420002453029,0.11404020001646131,,1854.5432649999857,1854.6931047999533,1855.2099115999881,10.013922700076364,10.09726180008147,1862.6265062999446,6.2700011767447e-05,1862.6265062999446,0.09721190005075186,5.0,2.764796099974774,1865.4266613000073,0.00244609999936074,0.09860639995895326,1871.426490199985,1871.6265117399278,6.231538399937563,6.3315043998882174,1872.626642899937,1891.609726539941,1891.6097982999636,26.21485489991028,26.314735299907625,1892.6262710000155,1894.609724799986,1894.609724799986,0.014812799985520542,0.11472049995791167,1924.609708199976,30.01477749994956,,,,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
3,0,3,0,4,0,4,0,,,,,,,,,,,,,,,1924.7429170999676,0.015332599985413253,0.11456929997075349,1930.7428780000191,6.014571500010788,1930.843026699964,1930.843026699964,0.014667500043287873,0.114575200015679,space,1.2336334999417886,1932.1093680999475,1932.1093680999475,4.329998046159744e-05,0.09720439999364316,num_9,1.4877836999949068,1933.659717139916,0.0020949000027030706,0.09789780003484339,1933.9761622999795,1934.4595567400218,1934.7761863999767,1935.259551639913,1935.5763133999426,1935.6428349999478,1943.642836999963,1943.642842139944,0.014592300052754581,0.11431160010397434,1944.6428171999287,1945.6594912,1945.8596131999511,1946.359466199996,10.01440270000603,10.097875600098632,1953.7594445999712,-0.0007409999379888177,1953.7594445999712,0.09777100011706352,4.0,2.466279200045392,1956.2597033999627,0.0025124000385403633,0.09773979999590665,1962.2594657000154,1962.4427758399513,6.214384100050665,6.31445370009169,1963.4427125999937,1982.4425544400117,1982.4426523000002,26.21436950005591,26.31429620005656,1983.4425234999508,1985.4593129999703,1985.4593129999703,4.77001303806901e-05,0.09778310009278357,2015.4591763999779,30.03092450008262,,,1943.642836999963,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.575833800016,0.01432000007480383,0.11414950015023351,2045.575674999971,30.01402460015379,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
4,0,4,0,0,0,0,0,,,,,,,,,,,,,,,2045.6757154000225,0.01599880016874522,0.1140495000872761,2051.6757602000143,6.013960000127554,2051.77569099993,2051.77569099993,0.014101800159551203,0.114099100115709,space,1.1654043999733403,2052.992354599992,2052.992354599992,7.419998291879892e-05,0.09746469999663532,num_9,1.739883300033398,2054.7923402399874,0.002174499910324812,0.0979079999960959,2055.0922843000153,2055.575584739924,2055.8921330999583,2056.375778439932,2056.6756656999933,2056.7756517999806,2064.7755973999156,2064.775651339919,0.014597599976696074,0.11456629994791001,2065.792256799992,2066.792240199982,2066.97563729994,2067.475574699929,10.014518599957228,,2074.908810899942,0.01748149993363768,2074.908810899942,0.11447599995881319,3.0,2.5311924000270665,2077.475721900002,0.0015656000468879938,0.09914409997873008,2083.4921673999634,2083.6589304399795,6.215819200035185,6.315764300059527,2084.675433999975,2103.6587563399344,2103.658769199974,26.21575390000362,26.315686900052242,2104.6757197999395,2106.675425799913,2106.675425799913,0.0014167000772431493,0.09902140009216964,2136.6919258999405,30.015560700092465,,,2064.7755973999156,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
4,0,4,0,1,0,1,0,,,,,,,,,,,,,,,2136.7919482999714,0.01647100003901869,0.11561630014330149,2142.808581799967,6.032174900057726,2142.9085852999706,2142.9085852999706,0.03241050010547042,0.13217980007175356,space,1.8562257000012323,2144.825297100004,2144.825297100004,4.090007860213518e-05,0.09812990005593747,num_9,1.3314122000010684,2146.1919581400116,0.002099400036968291,0.09780390001833439,2146.4918046999956,2146.975171239942,2147.2751308999723,2147.775103039935,2148.1085628999863,2148.1751952000195,2156.1751726999646,2156.1752136399855,0.014459399972110987,0.1143837000709027,2157.175115299993,2158.175141799962,2158.392024599947,2158.891817099997,10.014372800011188,10.09775760001503,2166.2916189000243,0.001321100047789514,2166.2916189000243,0.09755730000324547,5.0,1.8972816000459716,2168.2253501999658,0.002750099985860288,0.09776819997932762,2174.2417438999983,2174.4085593399477,6.214351900038309,6.29759259999264,2175.425042000017,2194.408480839932,2194.4083406999707,26.214312699972652,26.313961300067604,2195.42509169993,2197.4082994000055,2197.4082994000055,0.01421770011074841,0.114179200027138,2227.408247799962,30.01415620010812,,,2156.1751726999646,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
4,0,4,0,2,0,2,0,,,,,,,,,,,,,,,2227.5415014999453,0.014756700140424073,0.11402760003693402,2233.541546799941,6.014000200084411,2233.641582299955,2233.641582299955,0.014144300133921206,0.11402380012441427,space,1.826729299966246,2235.5082557999995,2235.5082557999995,4.320009611546993e-05,0.09781669999938458,num_9,1.5765294999582693,2237.1416413399975,0.002382999984547496,0.09789550001733005,2237.458034500014,2237.9249844399865,2238.225060399971,2238.7414780400113,2239.041465300019,2239.124918199959,2247.124896000023,2247.124925139954,0.014681900036521256,0.11467130004893988,2248.124729199917,2249.124926700024,2249.32472039992,2249.824735599919,10.014334799954668,10.097946500056423,2257.2413195999106,0.0007651000050827861,2257.2413195999106,0.09766900003887713,4.0,1.9980318999150768,2259.2748252999736,0.003294300055131316,0.0973630000371486,2265.274722000002,2265.47471493996,6.213718900107779,6.297154900035821,2266.474828199949,2285.4746811399355,2285.4745685999515,26.230598299996927,26.330629900097847,2286.474567199941,2288.474676999962,2288.474676999962,-0.0003369998885318637,0.09720110008493066,2318.474411699921,30.030425000120886,,,2247.124896000023,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
4,0,4,0,3,0,3,0,,,,,,,,,,,,,,,2318.6077461999375,0.03087120014242828,0.13045330008026212,2324.624256699928,6.013774300110526,2324.6910410999553,2324.6910410999553,0.01368740014731884,0.11378590017557144,space,1.3852332999231294,2326.1243740000064,2326.1243740000064,4.0500075556337833e-05,0.0978643000125885,num_9,1.1681775000179186,2327.3577248399497,0.002427200088277459,0.0981751000508666,2327.6576348999515,2328.1409887399177,2328.4577332999324,2328.941026740021,2329.240975099965,2329.357692299993,2337.3576773999957,2337.357675439923,0.0013931000139564276,0.09812960005365312,2338.374367799959,2339.37429539999,2339.5577351999236,2340.0408196999924,10.014636300038546,10.097961500054225,2347.457477399963,0.0007106000557541847,2347.457477399963,0.09798160009086132,5.0,3.8987114999908954,2351.3911717999727,0.0028608000138774514,0.09804029995575547,2357.4075823000167,2357.5742504400087,6.2144083000021055,6.314396300003864,2358.57422770001,2377.5741633399275,2377.5741278999485,26.21438879997004,26.314313699956983,2378.574059400009,2380.5741903999588,2380.5741903999588,0.014473700080998242,0.1143347000470385,2410.590847900021,30.031091000069864,,,2337.3576773999957,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
4,0,4,0,4,0,4,0,,,,,,,,,,,,,,,2410.7073075999506,0.014801400015130639,0.11421150004025549,2416.724068999989,6.030809000018053,2416.8073228999274,2416.8073228999274,0.014200300094671547,0.11414620012510568,space,1.1249171999515966,2417.9738316999283,2417.9738316999283,3.760005347430706e-05,0.09805440006311983,num_9,1.4625856999773532,2419.4739777399345,0.002134100068360567,0.09758910001255572,2419.7738491999917,2420.257210440014,2420.557279599947,2421.0572037400098,2421.357237500022,2421.4404172999784,2429.4572479999624,2429.4572696399528,0.014330500038340688,0.11415700009092689,2430.457166099921,2431.4571389999473,2431.6571181999752,2432.1573347999947,10.014053200022317,,2439.5904123999644,0.01707400009036064,2439.5904123999644,0.11401320004370064,5.0,2.5645659000147134,2442.1905219999608,0.001159299979917705,0.09929939999710768,2448.1904764999636,2448.3571041399964,6.199288000003435,6.2992832999443635,2449.3570926999673,2468.357215639914,2468.356976400013,26.199087299988605,26.282217500032857,2469.356928399997,2471.373684899998,2471.373684899998,0.015885400003753603,0.11586869996972382,2501.39020169992,29.99906399997417,30.099052399978973,,2429.4572479999624,,,,,,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2501.4902024000185,3.4800032153725624e-05,0.09918810008093715,2531.489989299909,30.01557040004991,5657,Gustatory,2025-03-04_14h26.06.066,Gustatory_Condition_v2,2022.2.5,29.9985810702801,
