loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,evaluate_all_emotions.thisRepN,evaluate_all_emotions.thisTrialN,evaluate_all_emotions.thisN,evaluate_all_emotions.thisIndex,sync_beep_1.started,p_port.started,p_port.stopped,sync_beep_1.stopped,sync_beep_2.started,sync_beep_2.stopped,sync_beep_3.started,sync_beep_3.stopped,sync_beep_4.started,sync_beep_4.stopped,baseline.started,p_port_2.started,p_port_2.stopped,baseline.stopped,p_port_3.started,Game_Start_Text.started,p_port_4.started,p_port_4.stopped,key_resp.started,key_resp.keys,key_resp.rt,fixation_cross.started,p_port_5.started,p_port_5.stopped,fixation_cross.stopped,p_port_6.started,player_image_intro.started,player_name_intro.started,p_port_7.started,p_port_7.stopped,p_port_8.started,player_image_offer.started,player_name_offer.started,proposed_split.started,p_port_9.started,p_port_9.stopped,proposed_split.stopped,accept_reject.started,p_port_15.started,p_port_15.stopped,accept_reject.stopped,p_port_10.started,player_image_offer.stopped,player_name_offer.stopped,arrow_instructions.started,offer_choice.started,p_port_11.started,p_port_11.stopped,offer_choice.keys,offer_choice.rt,Instructions_Affinity_Score.started,p_port_12.started,p_port_12.stopped,Emotion_Image.started,AffinityScore.started,p_port_13.started,p_port_13.stopped,AffinityScore.response,AffinityScore.rt,Instruction.started,Moral_Disgust_Score.started,p_port_14.started,p_port_14.stopped,Moral_Disgust_Score.response,Moral_Disgust_Score.rt,Instructions_Affinity_Score.stopped,player_image_intro.stopped,player_name_intro.stopped,p_port_6.stopped,p_port_8.stopped,p_port_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.8656318988651,171.8656318988651,0.006632499396800995,0.09914040006697178,1.0,2.460292199626565,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.3653388991952,174.3653388991952,0.006431899964809418,0.09917400032281876,1.0,1.7938060984015465,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.19870759919286,176.19870759919286,0.006701299920678139,0.09945010021328926,1.0,3.3605524003505707,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.59867069870234,179.59867069870234,0.0074212998151779175,0.09763120114803314,6.0,3.9580971002578735,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.59898339957,183.59898339957,0.006675500422716141,0.09939529933035374,1.0,2.360563699156046,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.01559409871697,186.01559409871697,0.008340099826455116,0.11408929899334908,1.0,3.9734393004328012,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.01556050032377,190.01556050032377,0.0021232999861240387,0.09704289957880974,7.0,7.463043600320816,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,197.51539379917085,0.00036009959876537323,0.09737559966742992,203.5320586003363,6.013699600473046,203.69887379929423,203.69887379929423,0.0694740004837513,0.18070279993116856,6.013666100800037,209.7821267992258,209.7821267992258,209.7821267992258,0.06977820210158825,0.16372050158679485,215.48201579973102,215.7153731994331,6.030419200658798,6.130431501194835,221.7153791990131,12.03043240122497,221.78207859955728,221.78207859955728,221.8487377986312,221.8487377986312,0.030672801658511162,0.13052990101277828,down,2.486147301271558,224.39867269992828,4.989840090274811e-05,0.09800869971513748,230.43266519904137,230.43266519904137,0.02531369961798191,0.1311332993209362,7.0,4.240190198644996,,,,,,,,209.6987320985645,209.6987320985645,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.69869119860232,234.69869119860232,0.007378101348876953,0.09795720130205154,6.0,3.8248107004910707,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.56531549990177,238.56531549990177,0.005810201168060303,0.09874780103564262,1.0,5.394008599221706,,,,,,,,,,,,,9647,Moral,2024-06-11_18h00.59.795,MoralCondition_v2,2022.2.5,30.000398928016324,
